Time_index;Nuclear;Coal;Gas;Onshore_Wind;Offshore_Wind_Fixed;Offshore_Wind_Float;Solar;Storage
1;1;1;1;0.423945684;0.728945691;0.728945691;0;1
2;1;1;1;0.418168527;0.713520653;0.713520653;0;1
3;1;1;1;0.413843734;0.707044988;0.707044988;0;1
4;1;1;1;0.405829307;0.704482567;0.704482567;0;1
5;1;1;1;0.403652435;0.706046863;0.706046863;0;1
6;1;1;1;0.404361346;0.713927272;0.713927272;0;1
7;1;1;1;0.396553746;0.717958199;0.717958199;0;1
8;1;1;1;0.388627181;0.71249354;0.71249354;0;1
9;1;1;1;0.385977487;0.716370859;0.716370859;7.05E-05;1
10;1;1;1;0.379359423;0.718448777;0.718448777;0.005926756;1
11;1;1;1;0.374615263;0.678842128;0.678842128;0.017582625;1
12;1;1;1;0.363815279;0.680125716;0.680125716;0.041383976;1
13;1;1;1;0.353024937;0.69787922;0.69787922;0.051245751;1
14;1;1;1;0.343490316;0.720874371;0.720874371;0.054628698;1
15;1;1;1;0.331890456;0.730870143;0.730870143;0.037362068;1
16;1;1;1;0.320224319;0.736161873;0.736161873;0.005052098;1
17;1;1;1;0.307622942;0.734266969;0.734266969;0;1
18;1;1;1;0.298858884;0.724930631;0.724930631;0;1
19;1;1;1;0.294574184;0.717211311;0.717211311;0;1
20;1;1;1;0.289822288;0.707697508;0.707697508;0;1
21;1;1;1;0.284060742;0.696176865;0.696176865;0;1
22;1;1;1;0.279320932;0.675752655;0.675752655;0;1
23;1;1;1;0.276145794;0.663647064;0.663647064;0;1
24;1;1;1;0.276460747;0.647605969;0.647605969;0;1
25;1;1;1;0.273281365;0.636628315;0.636628315;0;1
26;1;1;1;0.272596736;0.62809881;0.62809881;0;1
27;1;1;1;0.276528096;0.620620878;0.620620878;0;1
28;1;1;1;0.27761733;0.608693244;0.608693244;0;1
29;1;1;1;0.281282315;0.59011743;0.59011743;0;1
30;1;1;1;0.279222955;0.568509365;0.568509365;0;1
31;1;1;1;0.277515599;0.555982139;0.555982139;0;1
32;1;1;1;0.26612658;0.546849836;0.546849836;0;1
33;1;1;1;0.256155809;0.536714531;0.536714531;0.000119859;1
34;1;1;1;0.245855608;0.526299923;0.526299923;0.020880893;1
35;1;1;1;0.245333819;0.539385252;0.539385252;0.090448899;1
36;1;1;1;0.232305529;0.503900435;0.503900435;0.150603814;1
37;1;1;1;0.216260018;0.478946422;0.478946422;0.181188275;1
38;1;1;1;0.20222006;0.474703518;0.474703518;0.151699852;1
39;1;1;1;0.2028306;0.482445971;0.482445971;0.078142144;1
40;1;1;1;0.194584199;0.481691486;0.481691486;0.006687148;1
41;1;1;1;0.194490819;0.469455692;0.469455692;0;1
42;1;1;1;0.194363905;0.48967433;0.48967433;0;1
43;1;1;1;0.19754978;0.514607461;0.514607461;0;1
44;1;1;1;0.195936638;0.527565717;0.527565717;0;1
45;1;1;1;0.195384827;0.548848632;0.548848632;0;1
46;1;1;1;0.19635208;0.557392141;0.557392141;0;1
47;1;1;1;0.207394141;0.5829179;0.5829179;0;1
48;1;1;1;0.210281902;0.605399127;0.605399127;0;1
49;1;1;1;0.219904788;0.61896694;0.61896694;0;1
50;1;1;1;0.235722456;0.634856079;0.634856079;0;1
51;1;1;1;0.259583355;0.651078002;0.651078002;0;1
52;1;1;1;0.28287651;0.66276243;0.66276243;0;1
53;1;1;1;0.303485645;0.673171133;0.673171133;0;1
54;1;1;1;0.323819258;0.678056387;0.678056387;0;1
55;1;1;1;0.348876552;0.6826554;0.6826554;0;1
56;1;1;1;0.36785521;0.679945329;0.679945329;0;1
57;1;1;1;0.381997528;0.678334986;0.678334986;4.99E-05;1
58;1;1;1;0.394685318;0.680824524;0.680824524;0.002291071;1
59;1;1;1;0.411982096;0.674565589;0.674565589;0.013107644;1
60;1;1;1;0.40856822;0.643690452;0.643690452;0.044059019;1
61;1;1;1;0.411637062;0.620914069;0.620914069;0.061874511;1
62;1;1;1;0.409722168;0.599920406;0.599920406;0.054483149;1
63;1;1;1;0.404076673;0.544700229;0.544700229;0.030136541;1
64;1;1;1;0.403083891;0.511251979;0.511251979;0.004065189;1
65;1;1;1;0.400474277;0.513384677;0.513384677;6.65E-08;1
66;1;1;1;0.394400332;0.495726939;0.495726939;0;1
67;1;1;1;0.380823809;0.451654257;0.451654257;0;1
68;1;1;1;0.367296102;0.413809437;0.413809437;0;1
69;1;1;1;0.357953126;0.397372104;0.397372104;0;1
70;1;1;1;0.352051218;0.400379125;0.400379125;0;1
71;1;1;1;0.355978596;0.436228263;0.436228263;0;1
72;1;1;1;0.352896442;0.427228021;0.427228021;0;1
73;1;1;1;0.356129514;0.430593673;0.430593673;0;1
74;1;1;1;0.360692436;0.451557868;0.451557868;0;1
75;1;1;1;0.360708563;0.470181449;0.470181449;0;1
76;1;1;1;0.359493751;0.480431191;0.480431191;0;1
77;1;1;1;0.356109657;0.485235467;0.485235467;0;1
78;1;1;1;0.348521517;0.49039685;0.49039685;0;1
79;1;1;1;0.340540244;0.49674418;0.49674418;0;1
80;1;1;1;0.332223668;0.503431495;0.503431495;0;1
81;1;1;1;0.331136239;0.509996575;0.509996575;8.01E-05;1
82;1;1;1;0.326001896;0.507899878;0.507899878;0.011254504;1
83;1;1;1;0.334144945;0.49990091;0.49990091;0.045979739;1
84;1;1;1;0.325034532;0.488192618;0.488192618;0.071169695;1
85;1;1;1;0.319129844;0.476549186;0.476549186;0.079658424;1
86;1;1;1;0.314581536;0.452849446;0.452849446;0.065048634;1
87;1;1;1;0.319905492;0.428866904;0.428866904;0.04492346;1
88;1;1;1;0.32100543;0.414603864;0.414603864;0.005864278;1
89;1;1;1;0.320154806;0.39949334;0.39949334;3.35E-07;1
90;1;1;1;0.320905215;0.380219781;0.380219781;0;1
91;1;1;1;0.320201455;0.372261406;0.372261406;0;1
92;1;1;1;0.322534154;0.372437821;0.372437821;0;1
93;1;1;1;0.316913474;0.368721236;0.368721236;0;1
94;1;1;1;0.31447524;0.365427104;0.365427104;0;1
95;1;1;1;0.311783172;0.355998093;0.355998093;0;1
96;1;1;1;0.310888182;0.349567772;0.349567772;0;1
97;1;1;1;0.308275766;0.346596007;0.346596007;0;1
98;1;1;1;0.301449322;0.347281848;0.347281848;0;1
99;1;1;1;0.293762303;0.344679473;0.344679473;0;1
100;1;1;1;0.28883969;0.344954326;0.344954326;0;1
101;1;1;1;0.288627921;0.349077553;0.349077553;0;1
102;1;1;1;0.286276016;0.347708323;0.347708323;0;1
103;1;1;1;0.280606393;0.338881516;0.338881516;0;1
104;1;1;1;0.27108935;0.329069073;0.329069073;0;1
105;1;1;1;0.262931937;0.320675204;0.320675204;6.80E-05;1
106;1;1;1;0.255517976;0.315796304;0.315796304;0.007727559;1
107;1;1;1;0.252051713;0.323158627;0.323158627;0.038784949;1
108;1;1;1;0.249926074;0.332795717;0.332795717;0.085266707;1
109;1;1;1;0.239578761;0.34031647;0.34031647;0.104276784;1
110;1;1;1;0.235089374;0.353406178;0.353406178;0.099267088;1
111;1;1;1;0.227959472;0.35824599;0.35824599;0.049205638;1
112;1;1;1;0.217837993;0.356738733;0.356738733;0.00573038;1
113;1;1;1;0.213484892;0.362621461;0.362621461;1.63E-06;1
114;1;1;1;0.205943336;0.371340338;0.371340338;0;1
