Time_index;Load;Load_alternative_scenario_1;Load_alternative_scenario_2
1;101116.10385;50558.051925;151674.155775
2;96754.26278;48377.13139;145131.39417
3;93662.77176;46831.38588;140494.15764
4;92812.26497;46406.132485;139218.397455
5;92263.12242;46131.56121;138394.68363
6;90472.254365;45236.1271825;135708.3815475
7;85619.049846;42809.524923;128428.574769
8;81250.60462;40625.30231;121875.90693
9;79920.60129;39960.300645;119880.901935
10;82299.39241;41149.696205;123449.088615
11;85851.57122;42925.78561;128777.35683
12;88166.72393;44083.361965;132250.085895
13;89799.08371;44899.541855;134698.625565
14;88815.72535;44407.862675;133223.588025
15;87041.32868;43520.66434;130561.99302
16;85412.28976;42706.14488;128118.43464
17;84957.37591;42478.687955;127436.063865
18;87547.52196;43773.76098;131321.28294
19;90667.21579;45333.607895;136000.823685
20;90451.38916;45225.69458;135677.08374
21;90439.7202;45219.8601;135659.5803
22;92140.0852;46070.0426;138210.1278
23;96327.04708;48163.52354;144490.57062
24;100925.4133;50462.70665;151388.11995
25;103219.46198;51609.73099;154829.19297
26;97836.46057;48918.230285;146754.690855
27;95984.3689;47992.18445;143976.55335
28;94784.66321;47392.331605;142176.994815
29;92975.618911;46487.8094555;139463.4283665
30;90817.907337;45408.9536685;136226.8610055
31;87195.140705;43597.5703525;130792.7110575
32;88996.3664;44498.1832;133494.5496
33;93495.52445;46747.762225;140243.286675
34;96215.67128;48107.83564;144323.50692
35;98212.9878;49106.4939;147319.4817
36;99498.88435;49749.442175;149248.326525
37;100160.41691;50080.208455;150240.625365
38;99494.32059;49747.160295;149241.480885
39;98524.90975;49262.454875;147787.364625
40;97327.75039;48663.875195;145991.625585
41;98372.33984;49186.16992;147558.50976
42;100845.48383;50422.741915;151268.225745
43;103119.26632;51559.63316;154678.89948
44;102621.19667;51310.598335;153931.795005
45;101996.32125;50998.160625;152994.481875
46;101074.20088;50537.10044;151611.30132
47;103649.55285;51824.776425;155474.329275
48;106187.79624;53093.89812;159281.69436
49;103921.25191;51960.625955;155881.877865
50;98233.11091;49116.555455;147349.666365
51;96096.98609;48048.493045;144145.479135
52;94870.83521;47435.417605;142306.252815
53;92990.95654;46495.47827;139486.43481
54;90801.950059;45400.9750295;136202.9250885
55;87092.624854;43546.312427;130638.937281
56;89253.59654;44626.79827;133880.39481
57;94187.88047;47093.940235;141281.820705
58;97074.23396;48537.11698;145611.35094
59;98963.98129;49481.990645;148445.971935
60;100302.0287;50151.01435;150453.04305
61;101165.80731;50582.903655;151748.710965
62;101116.99037;50558.495185;151675.485555
63;99894.30462;49947.15231;149841.45693
64;98480.83537;49240.417685;147721.253055
65;99401.40799;49700.703995;149102.111985
66;101983.40003;50991.700015;152975.100045
67;104509.47742;52254.73871;156764.21613
68;104025.05697;52012.528485;156037.585455
69;103581.01688;51790.50844;155371.52532
70;102262.73554;51131.36777;153394.10331
71;104580.30492;52290.15246;156870.45738
72;107119.90458;53559.95229;160679.85687
73;107803.37668;53901.68834;161705.06502
74;102497.12472;51248.56236;153745.68708
75;100720.96519;50360.482595;151081.447785
76;99450.55281;49725.276405;149175.829215
77;97450.7781;48725.38905;146176.16715
78;95227.71653;47613.858265;142841.574795
79;91217.266657;45608.6333285;136825.8999855
80;92862.75581;46431.377905;139294.133715
81;97269.8387;48634.91935;145904.75805
82;99899.41736;49949.70868;149849.12604
83;101701.30095;50850.650475;152551.951425
84;102863.77706;51431.88853;154295.66559
85;103613.07517;51806.537585;155419.612755
86;103344.29457;51672.147285;155016.441855
87;102337.04557;51168.522785;153505.568355
88;101115.68917;50557.844585;151673.533755
89;102145.57936;51072.78968;153218.36904
90;104633.06521;52316.532605;156949.597815
91;106994.61594;53497.30797;160491.92391
92;106591.69524;53295.84762;159887.54286
93;106216.63557;53108.317785;159324.953355
94;105665.43981;52832.719905;158498.159715
95;108423.6609;54211.83045;162635.49135
96;111082.04596;55541.02298;166623.06894
97;109165.16604;54582.58302;163747.74906
98;103881.57685;51940.788425;155822.365275
99;102136.22004;51068.11002;153204.33006
100;100814.86304;50407.43152;151222.29456
101;98700.158725;49350.0793625;148050.2380875
102;96444.57367;48222.286835;144666.860505
103;92540.88338;46270.44169;138811.32507
104;94254.88115;47127.440575;141382.321725
105;98661.79687;49330.898435;147992.695305
106;101299.22844;50649.61422;151948.84266
107;103026.25906;51513.12953;154539.38859
108;104128.55669;52064.278345;156192.835035
109;104609.09587;52304.547935;156913.643805
110;104248.93041;52124.465205;156373.395615
111;103369.1011;51684.55055;155053.65165
112;102216.31912;51108.15956;153324.47868
113;103358.87723;51679.438615;155038.315845
114;105749.25223;52874.626115;158623.878345
115;108055.01242;54027.50621;162082.51863
116;107650.40572;53825.20286;161475.60858
117;107243.7271;53621.86355;160865.59065
118;106759.21397;53379.606985;160138.820955
119;109521.6803;54760.84015;164282.52045
120;112105.79027;56052.895135;168158.685405
121;106159.88999;53079.944995;159239.834985
122;100984.55695;50492.278475;151476.835425
123;97549.87187;48774.935935;146324.807805
124;96356.46505;48178.232525;144534.697575
125;94607.90546;47303.95273;141911.85819
126;93043.81201;46521.906005;139565.718015
127;89988.91998;44994.45999;134983.37997
128;87412.37071;43706.185355;131118.556065
129;88902.07955;44451.039775;133353.119325
130;92276.03118;46138.01559;138414.04677
131;95792.06211;47896.031055;143688.093165
132;97332.43259;48666.216295;145998.648885
133;97288.1707;48644.08535;145932.25605
134;97121.64975;48560.824875;145682.474625
135;95549.84591;47774.922955;143324.768865
136;94091.80131;47045.900655;141137.701965
137;95088.32645;47544.163225;142632.489675
138;98211.73798;49105.86899;147317.60697
139;100443.64272;50221.82136;150665.46408
140;100011.20839;50005.604195;150016.812585
141;99838.37594;49919.18797;149757.56391
142;98193.1416;49096.5708;147289.7124
143;100733.36299;50366.681495;151100.044485
144;103337.92307;51668.961535;155006.884605
145;102107.74167;51053.870835;153161.612505
146;96961.80949;48480.904745;145442.714235
147;93397.39448;46698.69724;140096.09172
148;91562.90389;45781.451945;137344.355835
149;89908.40396;44954.20198;134862.60594
150;88490.75107;44245.375535;132736.126605
151;85551.705404;42775.852702;128327.558106
152;82988.47907;41494.239535;124482.718605
153;82710.88568;41355.44284;124066.32852
154;85923.98679;42961.993395;128885.980185
155;89467.44836;44733.72418;134201.17254
156;91658.15377;45829.076885;137487.230655
157;93568.20342;46784.10171;140352.30513
158;93086.72483;46543.362415;139630.087245
159;91259.43658;45629.71829;136889.15487
160;89821.44313;44910.721565;134732.164695
161;90941.90916;45470.95458;136412.86374
162;94059.35963;47029.679815;141089.039445
163;98170.34647;49085.173235;147255.519705
164;97801.44959;48900.724795;146702.174385
165;97740.26306;48870.13153;146610.39459
166;98178.87979;49089.439895;147268.319685
167;100627.98948;50313.99474;150941.98422
168;103751.63169;51875.815845;155627.447535
169;114320.5818;57160.2909;171480.8727
170;109300.01807;54650.009035;163950.027105
171;108226.33996;54113.16998;162339.50994
172;107545.478;53772.739;161318.217
173;107318.95768;53659.47884;160978.43652
174;106720.04201;53360.021005;160080.063015
175;105121.9481;52560.97405;157682.92215
176;109046.85991;54523.429955;163570.289865
177;114170.85636;57085.42818;171256.28454
178;116065.84452;58032.92226;174098.76678
179;116594.10599;58297.052995;174891.158985
180;116488.32596;58244.16298;174732.48894
181;116332.36033;58166.180165;174498.540495
182;115845.68734;57922.84367;173768.53101
183;115969.50268;57984.75134;173954.25402
184;114854.99383;57427.496915;172282.490745
185;114538.49638;57269.24819;171807.74457
186;116392.41771;58196.208855;174588.626565
187;118452.64356;59226.32178;177678.96534
188;117763.73631;58881.868155;176645.604465
189;116575.25286;58287.62643;174862.87929
190;114658.71626;57329.35813;171988.07439
191;116476.96913;58238.484565;174715.453695
192;117971.11586;58985.55793;176956.67379
193;116221.17815;58110.589075;174331.767225
194;111219.94768;55609.97384;166829.92152
195;110132.01302;55066.00651;165198.01953
196;109460.4467;54730.22335;164190.67005
197;109268.51279;54634.256395;163902.769185
198;108594.78588;54297.39294;162892.17882
199;106783.32492;53391.66246;160174.98738
200;110696.1818;55348.0909;166044.2727
201;115852.72864;57926.36432;173779.09296
202;117709.71627;58854.858135;176564.574405
203;118058.43515;59029.217575;177087.652725
204;117679.99502;58839.99751;176519.99253
205;117481.20759;58740.603795;176221.811385
206;117314.3557;58657.17785;175971.53355
207;117406.05678;58703.02839;176109.08517
208;116295.21516;58147.60758;174442.82274
209;115836.46317;57918.231585;173754.694755
210;117727.86296;58863.93148;176591.79444
211;119876.57061;59938.285305;179814.855915
212;119339.68439;59669.842195;179009.526585
213;118154.49357;59077.246785;177231.740355
214;116097.38591;58048.692955;174146.078865
215;117919.21299;58959.606495;176878.819485
216;119399.84188;59699.92094;179099.76282
217;118676.89137;59338.445685;178015.337055
218;113772.30631;56886.153155;170658.459465
219;112692.80025;56346.400125;169039.200375
220;112007.43272;56003.71636;168011.14908
221;111785.47706;55892.73853;167678.21559
222;111173.44626;55586.72313;166760.16939
223;109077.47938;54538.73969;163616.21907
224;113058.37532;56529.18766;169587.56298
225;118207.71131;59103.855655;177311.566965
226;119870.17009;59935.085045;179805.255135
227;119963.24077;59981.620385;179944.861155
228;119560.22529;59780.112645;179340.337935
229;119362.45094;59681.22547;179043.67641
230;119044.89991;59522.449955;178567.349865
231;119149.77319;59574.886595;178724.659785
232;118253.28312;59126.64156;177379.92468
233;118002.07044;59001.03522;177003.10566
234;119880.07884;59940.03942;179820.11826
235;121683.80469;60841.902345;182525.707035
236;121070.06687;60535.033435;181605.100305
237;119893.76098;59946.88049;179840.64147
238;117889.03864;58944.51932;176833.55796
239;119821.38281;59910.691405;179732.074215
240;121475.67368;60737.83684;182213.51052
241;115736.10191;57868.050955;173604.152865
242;110817.4078;55408.7039;166226.1117
243;109775.32616;54887.66308;164662.98924
244;109084.57605;54542.288025;163626.864075
245;108855.56761;54427.783805;163283.351415
246;108385.02529;54192.512645;162577.537935
247;106744.20302;53372.10151;160116.30453
248;110922.46374;55461.23187;166383.69561
249;116172.13754;58086.06877;174258.20631
250;117795.00516;58897.50258;176692.50774
251;117878.78599;58939.392995;176818.178985
252;117550.8352;58775.4176;176326.2528
253;117449.66827;58724.834135;176174.502405
254;116993.34653;58496.673265;175490.019795
255;117143.47289;58571.736445;175715.209335
256;116318.83714;58159.41857;174478.25571
257;116272.24017;58136.120085;174408.360255
258;117993.66854;58996.83427;176990.50281
259;119519.59184;59759.79592;179279.38776
260;118611.52814;59305.76407;177917.29221
261;116993.09264;58496.54632;175489.63896
262;115052.61059;57526.305295;172578.915885
263;117097.56456;58548.78228;175646.34684
264;118679.28371;59339.641855;178018.925565
265;113538.11206;56769.05603;170307.16809
266;108611.61693;54305.808465;162917.425395
267;107603.37251;53801.686255;161405.058765
268;106943.21065;53471.605325;160414.815975
269;106752.76921;53376.384605;160129.153815
270;106155.65287;53077.826435;159233.479305
271;104748.16041;52374.080205;157122.240615
272;109431.59734;54715.79867;164147.39601
273;114990.87845;57495.439225;172486.317675
274;116455.16998;58227.58499;174682.75497
275;116404.98434;58202.49217;174607.47651
276;116056.92107;58028.460535;174085.381605
277;115885.88387;57942.941935;173828.825805
278;115768.2836;57884.1418;173652.4254
279;115872.28961;57936.144805;173808.434415
280;114907.77697;57453.888485;172361.665455
281;114464.94917;57232.474585;171697.423755
282;116213.45636;58106.72818;174320.18454
283;118292.3519;59146.17595;177438.52785
284;117638.04444;58819.02222;176457.06666
285;115882.23029;57941.115145;173823.345435
286;113810.32914;56905.16457;170715.49371
287;115592.43791;57796.218955;173388.656865
288;116927.07079;58463.535395;175390.606185
289;104263.90665;52131.953325;156395.859975
290;99138.83213;49569.416065;148708.248195
291;95666.52349;47833.261745;143499.785235
292;94802.95349;47401.476745;142204.430235
293;94108.27108;47054.13554;141162.40662
294;92934.29442;46467.14721;139401.44163
295;90011.93839;45005.969195;135017.907585
296;87412.14952;43706.07476;131118.22428
297;88979.34508;44489.67254;133469.01762
298;92370.83689;46185.418445;138556.255335
299;95030.15988;47515.07994;142545.23982
300;96598.45541;48299.227705;144897.683115
301;97036.0939;48518.04695;145554.14085
302;97784.38187;48892.190935;146676.572805
303;95962.39245;47981.196225;143943.588675
304;94468.61913;47234.309565;141702.928695
305;94726.37265;47363.186325;142089.558975
306;97955.44296;48977.72148;146933.16444
307;100179.09407;50089.547035;150268.641105
308;99600.08586;49800.04293;149400.12879
309;98871.47459;49435.737295;148307.211885
310;96959.8015;48479.90075;145439.70225
311;98974.13753;49487.068765;148461.206295
312;101768.72186;50884.36093;152653.08279
313;98916.25893;49458.129465;148374.388395
314;93671.39768;46835.69884;140507.09652
315;90095.53525;45047.767625;135143.302875
316;88729.15137;44364.575685;133093.727055
317;87775.66198;43887.83099;131663.49297
318;86117.32661;43058.663305;129175.989915
319;82909.159822;41454.579911;124363.739733
320;80394.51304;40197.25652;120591.76956
321;80323.88286;40161.94143;120485.82429
322;84046.08181;42023.040905;126069.122715
323;87434.55566;43717.27783;131151.83349
324;89516.64622;44758.32311;134274.96933
325;91316.06452;45658.03226;136974.09678
326;91829.62488;45914.81244;137744.43732
327;89947.16656;44973.58328;134920.74984
328;88482.72307;44241.361535;132724.084605
329;88922.0965;44461.04825;133383.14475
330;92291.12526;46145.56263;138436.68789
331;96917.90405;48458.952025;145376.856075
332;96666.7876;48333.3938;145000.1814
333;96104.20526;48052.10263;144156.30789
334;95819.02129;47909.510645;143728.531935
335;97692.54518;48846.27259;146538.81777
336;100573.44221;50286.721105;150860.163315
337;112677.39944;56338.69972;169016.09916
338;107820.43914;53910.21957;161730.65871
339;106794.43752;53397.21876;160191.65628
340;106093.62788;53046.81394;159140.44182
341;105844.49461;52922.247305;158766.741915
342;105177.56505;52588.782525;157766.347575
343;104688.47234;52344.23617;157032.70851
344;109607.96344;54803.98172;164411.94516
345;115185.92891;57592.964455;172778.893365
346;116990.68762;58495.34381;175486.03143
347;117002.33751;58501.168755;175503.506265
348;116657.66149;58328.830745;174986.492235
349;116475.6347;58237.81735;174713.45205
350;116187.07836;58093.53918;174280.61754
351;116287.14649;58143.573245;174430.719735
352;115324.54235;57662.271175;172986.813525
353;114723.43574;57361.71787;172085.15361
354;116330.31152;58165.15576;174495.46728
355;118540.96811;59270.484055;177811.452165
356;117967.45109;58983.725545;176951.176635
357;116623.3271;58311.66355;174934.99065
358;114433.37787;57216.688935;171650.066805
359;115942.25446;57971.12723;173913.38169
360;116991.72833;58495.864165;175487.592495
361;113822.02429;56911.012145;170733.036435
362;108810.17314;54405.08657;163215.25971
363;107700.40232;53850.20116;161550.60348
364;107005.03805;53502.519025;160507.557075
365;106768.9042;53384.4521;160153.3563
366;106331.77303;53165.886515;159497.659545
367;104884.82497;52442.412485;157327.237455
368;109081.18318;54540.59159;163621.77477
369;114370.96903;57185.484515;171556.453545
370;116266.37158;58133.18579;174399.55737
371;116589.51449;58294.757245;174884.271735
372;116323.05204;58161.52602;174484.57806
373;116226.93033;58113.465165;174340.395495
374;115365.37551;57682.687755;173048.063265
375;115546.62925;57773.314625;173319.943875
376;114671.31847;57335.659235;172006.977705
377;114641.90174;57320.95087;171962.85261
378;116421.69763;58210.848815;174632.546445
379;117991.76626;58995.88313;176987.64939
380;117043.30535;58521.652675;175564.958025
381;115447.51516;57723.75758;173171.27274
382;113343.04638;56671.52319;170014.56957
383;115275.78534;57637.89267;172913.67801
384;116808.35932;58404.17966;175212.53898
385;112012.19676;56006.09838;168018.29514
386;106894.74515;53447.372575;160342.117725
387;105686.49095;52843.245475;158529.736425
388;105052.76003;52526.380015;157579.140045
389;104917.40928;52458.70464;157376.11392
390;104366.81542;52183.40771;156550.22313
391;102539.77869;51269.889345;153809.668035
392;107285.86135;53642.930675;160928.792025
393;113059.01867;56529.509335;169588.528005
394;114897.16412;57448.58206;172345.74618
395;114965.24429;57482.622145;172447.866435
396;114679.15442;57339.57721;172018.73163
397;114541.19609;57270.598045;171811.794135
398;114500.46771;57250.233855;171750.701565
399;114620.22221;57310.111105;171930.333315
400;113584.78532;56792.39266;170377.17798
401;113114.57891;56557.289455;169671.868365
402;114915.43457;57457.717285;172373.151855
403;116851.05483;58425.527415;175276.582245
404;116128.63912;58064.31956;174192.95868
405;114653.65629;57326.828145;171980.484435
406;112384.91638;56192.45819;168577.37457
407;114112.72287;57056.361435;171169.084305
408;115540.33288;57770.16644;173310.49932
409;115203.47554;57601.73777;172805.21331
410;110389.64509;55194.822545;165584.467635
411;109376.57531;54688.287655;164064.862965
412;108708.47539;54354.237695;163062.713085
413;108511.59879;54255.799395;162767.398185
414;107793.21457;53896.607285;161689.821855
415;105988.79372;52994.39686;158983.19058
416;110086.04827;55043.024135;165129.072405
417;115236.00946;57618.00473;172854.01419
418;116897.67205;58448.836025;175346.508075
419;116925.01279;58462.506395;175387.519185
420;116540.02005;58270.010025;174810.030075
421;116344.4722;58172.2361;174516.7083
422;116170.5769;58085.28845;174255.86535
423;116306.42583;58153.212915;174459.638745
424;115467.908;57733.954;173201.862
425;115045.34446;57522.67223;172568.01669
426;116889.4609;58444.73045;175334.19135
427;118865.12455;59432.562275;178297.686825
428;118321.83633;59160.918165;177482.754495
429;117154.57868;58577.28934;175731.86802
430;115155.73879;57577.869395;172733.608185
431;116999.76105;58499.880525;175499.641575
432;118565.18799;59282.593995;177847.781985
433;117012.92517;58506.462585;175519.387755
434;112388.20242;56194.10121;168582.30363
435;111394.39631;55697.198155;167091.594465
436;110725.08501;55362.542505;166087.627515
437;110539.02013;55269.510065;165808.530195
438;109959.07873;54979.539365;164938.618095
439;108688.24149;54344.120745;163032.362235
440;113017.71756;56508.85878;169526.57634
441;118229.37101;59114.685505;177344.056515
442;119579.8708;59789.9354;179369.8062
443;119402.97543;59701.487715;179104.463145
444;118955.79826;59477.89913;178433.69739
445;118717.0003;59358.50015;178075.50045
446;118436.98069;59218.490345;177655.471035
447;118562.59381;59281.296905;177843.890715
448;117783.31581;58891.657905;176674.973715
449;117323.62165;58661.810825;175985.432475
450;119076.30689;59538.153445;178614.460335
451;121227.01155;60613.505775;181840.517325
452;120680.17069;60340.085345;181020.256035
453;119109.58176;59554.79088;178664.37264
454;117204.2869;58602.14345;175806.43035
455;119028.59772;59514.29886;178542.89658
456;120373.43999;60186.719995;180560.159985
457;110741.70624;55370.85312;166112.55936
458;105800.16669;52900.083345;158700.250035
459;102426.9596;51213.4798;153640.4394
460;101523.36212;50761.68106;152285.04318
461;100825.34739;50412.673695;151238.021085
462;99633.86651;49816.933255;149450.799765
463;96762.63548;48381.31774;145143.95322
464;94357.1766;47178.5883;141535.7649
465;94882.49941;47441.249705;142323.749115
466;98265.79763;49132.898815;147398.696445
467;101712.12687;50856.063435;152568.190305
468;103028.21865;51514.109325;154542.327975
469;102871.52286;51435.76143;154307.28429
470;102729.05214;51364.52607;154093.57821
471;101190.84267;50595.421335;151786.264005
472;99874.39744;49937.19872;149811.59616
473;100083.99171;50041.995855;150125.987565
474;103120.95409;51560.477045;154681.431135
475;105839.57918;52919.78959;158759.36877
476;105429.47931;52714.739655;158144.218965
477;104951.62332;52475.81166;157427.43498
478;103519.69928;51759.84964;155279.54892
479;105773.03822;52886.51911;158659.55733
480;108017.39953;54008.699765;162026.099295
481;109380.23033;54690.115165;164070.345495
482;104769.79375;52384.896875;157154.690625
483;101605.40297;50802.701485;152408.104455
484;99535.1447;49767.57235;149302.71705
485;98609.51349;49304.756745;147914.270235
486;96995.89945;48497.949725;145493.849175
487;93710.9032;46855.4516;140566.3548
488;91115.21996;45557.60998;136672.82994
489;90876.73437;45438.367185;136315.101555
490;92375.12906;46187.56453;138562.69359
491;95916.51738;47958.25869;143874.77607
492;98011.63841;49005.819205;147017.457615
493;99643.762;49821.881;149465.643
494;98782.09615;49391.048075;148173.144225
495;97052.2331;48526.11655;145578.34965
496;96010.77303;48005.386515;144016.159545
497;96689.62791;48344.813955;145034.441865
498;100062.32928;50031.16464;150093.49392
499;105135.25064;52567.62532;157702.87596
500;105083.47611;52541.738055;157625.214165
501;104560.41634;52280.20817;156840.62451
502;105889.75441;52944.877205;158834.631615
503;108262.54061;54131.270305;162393.810915
504;111132.33908;55566.16954;166698.50862
505;123227.75108;61613.87554;184841.62662
506;118238.13631;59119.068155;177357.204465
507;117068.05954;58534.02977;175602.08931
508;116278.02253;58139.011265;174417.033795
509;115887.4182;57943.7091;173831.1273
510;115208.58545;57604.292725;172812.878175
511;113244.10844;56622.05422;169866.16266
512;117471.7233;58735.86165;176207.58495
513;123065.29002;61532.64501;184597.93503
514;124753.56628;62376.78314;187130.34942
515;124434.86237;62217.431185;186652.293555
516;123859.27161;61929.635805;185788.907415
517;123609.37437;61804.687185;185414.061555
518;123749.78933;61874.894665;185624.683995
519;123801.5108;61900.7554;185702.2662
520;122705.38884;61352.69442;184058.08326
521;122283.68935;61141.844675;183425.534025
522;123688.52373;61844.261865;185532.785595
523;125683.64669;62841.823345;188525.470035
524;125115.82604;62557.91302;187673.73906
525;123137.54809;61568.774045;184706.322135
526;121623.82564;60811.91282;182435.73846
527;123787.33431;61893.667155;185681.001465
528;125082.37463;62541.187315;187623.561945
529;121617.57048;60808.78524;182426.35572
530;116563.31329;58281.656645;174844.969935
531;115316.20324;57658.10162;172974.30486
532;114562.25719;57281.128595;171843.385785
533;114243.83986;57121.91993;171365.75979
534;113667.39107;56833.695535;170501.086605
535;111722.07578;55861.03789;167583.11367
536;116192.18413;58096.092065;174288.276195
537;121902.15295;60951.076475;182853.229425
538;123931.52231;61965.761155;185897.283465
539;123641.17771;61820.588855;185461.766565
540;123206.21441;61603.107205;184809.321615
541;123017.46262;61508.73131;184526.19393
542;122404.1615;61202.08075;183606.24225
543;122532.40846;61266.20423;183798.61269
544;121685.37718;60842.68859;182528.06577
545;121828.79733;60914.398665;182743.195995
546;123213.2432;61606.6216;184819.8648
547;124818.83425;62409.417125;187228.251375
548;124117.08041;62058.540205;186175.620615
549;122727.97181;61363.985905;184091.957715
550;120791.0807;60395.54035;181186.62105
551;122819.53104;61409.76552;184229.29656
552;124363.988;62181.994;186545.982
553;118421.84152;59210.92076;177632.76228
554;113458.00418;56729.00209;170187.00627
555;112368.23931;56184.119655;168552.358965
556;111671.06661;55835.533305;167506.599915
557;111442.49133;55721.245665;167163.736995
558;110863.90929;55431.954645;166295.863935
559;108939.95768;54469.97884;163409.93652
560;113357.6115;56678.80575;170036.41725
561;118940.10655;59470.053275;178410.159825
562;120678.58204;60339.29102;181017.87306
563;120498.12794;60249.06397;180747.19191
564;120056.1877;60028.09385;180084.28155
565;119823.61885;59911.809425;179735.428275
566;119886.10796;59943.05398;179829.16194
567;119978.94538;59989.47269;179968.41807
568;119033.35014;59516.67507;178550.02521
569;118455.09775;59227.548875;177682.646625
570;120133.03342;60066.51671;180199.55013
571;122150.91493;61075.457465;183226.372395
572;121579.33475;60789.667375;182369.002125
573;120248.95256;60124.47628;180373.42884
574;118340.09895;59170.049475;177510.148425
575;120245.57325;60122.786625;180368.359875
576;121656.57592;60828.28796;182484.86388
577;118869.26105;59434.630525;178303.891575
578;114135.70681;57067.853405;171203.560215
579;113130.9777;56565.48885;169696.46655
580;112437.38203;56218.691015;168656.073045
581;112211.49383;56105.746915;168317.240745
582;111488.77421;55744.387105;167233.161315
583;109644.02195;54822.010975;164466.032925
584;113702.50483;56851.252415;170553.757245
585;118828.00325;59414.001625;178242.004875
586;120463.11732;60231.55866;180694.67598
587;120329.22748;60164.61374;180493.84122
588;119864.0695;59932.03475;179796.10425
589;119614.41535;59807.207675;179421.623025
590;119430.83187;59715.415935;179146.247805
591;119559.46345;59779.731725;179339.195175
592;118760.075;59380.0375;178140.1125
593;118201.18507;59100.592535;177301.777605
594;119948.77703;59974.388515;179923.165545
595;122019.32301;61009.661505;183028.984515
596;121613.88835;60806.944175;182420.832525
597;120556.86733;60278.433665;180835.300995
598;118664.86388;59332.43194;177997.29582
599;120499.19115;60249.595575;180748.786725
600;122036.79436;61018.39718;183055.19154
601;120107.71773;60053.858865;180161.576595
602;115533.18276;57766.59138;173299.77414
603;114526.95479;57263.477395;171790.432185
604;113788.24213;56894.121065;170682.363195
605;113489.28923;56744.644615;170233.933845
606;112883.73557;56441.867785;169325.603355
607;111549.3276;55774.6638;167323.9914
608;115825.15776;57912.57888;173737.73664
609;121048.04822;60524.02411;181572.07233
610;122385.45764;61192.72882;183578.18646
611;122194.97893;61097.489465;183292.468395
612;121672.12754;60836.06377;182508.19131
613;121438.77935;60719.389675;182158.169025
614;121223.91995;60611.959975;181835.879925
615;121346.57546;60673.28773;182019.86319
616;120630.84717;60315.423585;180946.270755
617;120228.07785;60114.038925;180342.116775
618;121693.28487;60846.642435;182539.927305
619;123690.77953;61845.389765;185536.169295
620;123128.03315;61564.016575;184692.049725
621;121888.66295;60944.331475;182832.994425
622;120250.17502;60125.08751;180375.26253
623;122206.86956;61103.43478;183310.30434
624;123521.91721;61760.958605;185282.875815
625;107287.0248;53643.5124;160930.5372
626;102376.217;51188.1085;153564.3255
627;99224.14055;49612.070275;148836.210825
628;98405.23315;49202.616575;147607.849725
629;97777.61625;48888.808125;146666.424375
630;96627.83864;48313.91932;144941.75796
631;93674.04074;46837.02037;140511.06111
632;91086.19535;45543.097675;136629.293025
633;91812.33466;45906.16733;137718.50199
