Time_index;Gas;Wind;Solar;Storage
1;1;0.68494853;0;0
2;1;0.692614111;0;0
3;1;0.680159421;0;0
4;1;0.646422253;0;0
5;1;0.593940318;0;0
6;1;0.524813729;0;0
7;1;0.440817151;0;0
8;1;0.352278879;0.038111604;0
9;1;0.239400568;0.29075245;0
10;1;0.109483869;0.369578495;0
11;1;0.036657481;0.306189237;0
12;1;0.044198283;0.285144123;0
13;1;0.10239894;0.293796574;0
14;1;0.221127048;0.337013125;0
15;1;0.38549002;0.331207884;0
16;1;0.557830216;0.124668214;0
17;1;0.686789148;0.004182489;0
18;1;0.748170653;0;0
19;1;0.777183888;0;0
20;1;0.802454061;0;0
21;1;0.8275552;0;0
22;1;0.851985842;0;0
23;1;0.855600345;0;0
24;1;0.854196009;0;0
25;1;0.856294311;0;0
26;1;0.864152153;0;0
27;1;0.851181532;0;0
28;1;0.837681665;0;0
29;1;0.824010216;0;0
30;1;0.809699275;0;0
31;1;0.80784573;0;0
32;1;0.80925185;0.01985116;0
33;1;0.797591073;0.158830745;0
34;1;0.803546568;0.267993525;0
35;1;0.822894663;0.263832087;0
36;1;0.839367487;0.256327291;0
37;1;0.865960244;0.256535218;0
38;1;0.877791958;0.27505967;0
39;1;0.875138508;0.289915872;0
40;1;0.869785728;0.13183477;0
41;1;0.893428912;0.005388205;0
42;1;0.910019597;0;0
43;1;0.916271121;0;0
44;1;0.909353217;0;0
45;1;0.891439905;0;0
46;1;0.869670254;0;0
47;1;0.832974599;0;0
48;1;0.793542349;0;0
49;1;0.763308138;0;0
50;1;0.750113883;0;0
51;1;0.729198684;0;0
52;1;0.694957807;0;0
53;1;0.664635076;0;0
54;1;0.652681994;0;0
55;1;0.654510032;0;0
56;1;0.656831793;0.033664686;0
57;1;0.685611835;0.269130372;0
58;1;0.710704834;0.423271241;0
59;1;0.73184699;0.405947109;0
60;1;0.753444744;0.385453311;0
61;1;0.783215495;0.415553129;0
62;1;0.810086679;0.49704918;0
63;1;0.832747843;0.510486648;0
64;1;0.843621487;0.215279193;0
65;1;0.839757786;0.00886383;0
66;1;0.848142109;0;0
67;1;0.847643654;0;0
68;1;0.840592293;0;0
69;1;0.835683266;0;0
70;1;0.815284137;0;0
71;1;0.792055638;0;0
72;1;0.776937487;0;0
73;1;0.778780433;0;0
74;1;0.781845723;0;0
75;1;0.774579778;0;0
76;1;0.76719668;0;0
77;1;0.746091133;0;0
78;1;0.720104713;0;0
79;1;0.697194483;0;0
80;1;0.668614901;0.0501862;0
81;1;0.588500722;0.387473536;0
82;1;0.492294041;0.579181645;0
83;1;0.426508988;0.474191096;0
84;1;0.387617354;0.398746208;0
85;1;0.368630167;0.390808802;0
86;1;0.348753297;0.388274909;0
87;1;0.325582017;0.300716438;0
88;1;0.342419285;0.108473432;0
89;1;0.421194586;0.003900197;0
90;1;0.491498136;0;0
91;1;0.530174038;0;0
92;1;0.560614314;0;0
93;1;0.588634827;0;0
94;1;0.618488407;0;0
95;1;0.631586835;0;0
96;1;0.634114922;0;0
97;1;0.625072204;0;0
98;1;0.611443556;0;0
99;1;0.60095893;0;0
100;1;0.581095695;0;0
101;1;0.571942189;0;0
102;1;0.56852195;0;0
103;1;0.573054468;0;0
104;1;0.565829096;0.011211311;0
105;1;0.509623069;0.105843257;0
106;1;0.414385563;0.229613745;0
107;1;0.4075158;0.28158085;0
108;1;0.477393484;0.278502093;0
109;1;0.548520823;0.261751938;0
110;1;0.609572484;0.266337418;0
111;1;0.635056418;0.271564371;0
112;1;0.659058697;0.122372509;0
113;1;0.753922284;0.005336782;0
114;1;0.79164405;0;0
115;1;0.772671706;0;0
116;1;0.722850806;0;0
117;1;0.64023536;0;0
118;1;0.533723591;0;0
119;1;0.446611089;0;0
120;1;0.380713946;0;0
121;1;0.334838358;0;0
122;1;0.293422114;0;0
123;1;0.262970471;0;0
124;1;0.240307825;0;0
125;1;0.230041115;0;0
126;1;0.233121999;0;0
127;1;0.253209892;0;0
128;1;0.287210824;0.022046297;0
129;1;0.30866966;0.168965751;0
130;1;0.298078229;0.263659412;0
131;1;0.294153308;0.267645173;0
132;1;0.302193908;0.243081578;0
133;1;0.311812462;0.226730997;0
134;1;0.31479877;0.207941252;0
135;1;0.329843554;0.1858628;0
136;1;0.406384316;0.103892891;0
137;1;0.481766606;0.005767399;0
138;1;0.508242962;0;0
139;1;0.500322705;0;0
140;1;0.487164344;0;0
141;1;0.471454203;0;0
142;1;0.457647277;0;0
143;1;0.443126691;0;0
144;1;0.425550226;0;0
145;1;0.404291401;0;0
146;1;0.381325909;0;0
147;1;0.358329049;0;0
148;1;0.328585831;0;0
149;1;0.284562802;0;0
150;1;0.262027397;0;0
151;1;0.250109207;0;0
152;1;0.243361851;0.015157002;0
153;1;0.235562993;0.141513739;0
154;1;0.195754291;0.264941056;0
155;1;0.154895161;0.289875679;0
156;1;0.138304247;0.271409916;0
157;1;0.148503331;0.260039457;0
158;1;0.170285202;0.242652027;0
159;1;0.205395814;0.174369706;0
160;1;0.292966226;0.086508327;0
161;1;0.387995723;0.005776886;0
162;1;0.437415679;0;0
163;1;0.496967328;0;0
164;1;0.550311709;0;0
165;1;0.602665527;0;0
166;1;0.64334948;0;0
167;1;0.655445618;0;0
168;1;0.669109992;0;0
169;1;0.638433972;0;0
170;1;0.66035899;0;0
171;1;0.67890468;0;0
172;1;0.699159111;0.000254311;0
173;1;0.711604892;0.024093352;0
174;1;0.711499529;0.098728992;0
175;1;0.697792545;0.149186743;0
176;1;0.712711171;0.18395176;0
177;1;0.741850792;0.245626485;0
178;1;0.758134149;0.325921936;0
179;1;0.756758242;0.36151507;0
180;1;0.73573314;0.340475008;0
181;1;0.70471498;0.317450838;0
182;1;0.684285015;0.289761772;0
183;1;0.675299963;0.23754675;0
184;1;0.663280582;0.181453216;0
185;1;0.625957714;0.127875008;0
186;1;0.578852146;0.082605118;0
187;1;0.570354713;0.028532454;0
188;1;0.56771405;0.00069482;0
189;1;0.552617491;0;0
190;1;0.533879673;0;0
191;1;0.530147761;0;0
192;1;0.543100951;0;0
193;1;0.554404541;0;0
194;1;0.552669406;0;0
195;1;0.568073956;0;0
196;1;0.57110164;0.000052;0
197;1;0.568437226;0.023763745;0
198;1;0.541047228;0.143146516;0
199;1;0.486320226;0.266905342;0
200;1;0.476978119;0.344796317;0
201;1;0.482601214;0.416763083;0
202;1;0.491754231;0.463060791;0
203;1;0.500014477;0.472255178;0
204;1;0.499881421;0.460137946;0
205;1;0.508027786;0.434698144;0
206;1;0.532019276;0.393884709;0
207;1;0.580497197;0.337318581;0
208;1;0.606518365;0.284090184;0
209;1;0.601480673;0.215211694;0
210;1;0.62335972;0.133288321;0
211;1;0.657184223;0.040713971;0
212;1;0.674508103;0.001333788;0
213;1;0.670814707;0;0
214;1;0.644931362;0;0
215;1;0.623923947;0;0
216;1;0.60737274;0;0
217;1;0.590586679;0;0
218;1;0.580472538;0;0
219;1;0.588494837;0;0
220;1;0.60110793;0.0000571;0
221;1;0.626778769;0.014879682;0
222;1;0.615487261;0.076629872;0
223;1;0.573376281;0.148226451;0
224;1;0.585204843;0.21515589;0
225;1;0.6279222;0.277212732;0
226;1;0.673484256;0.337218354;0
227;1;0.706537219;0.373157946;0
228;1;0.719545846;0.386827393;0
229;1;0.719463624;0.387949185;0
230;1;0.710433117;0.365606086;0
231;1;0.707470713;0.312778242;0
232;1;0.685313806;0.249623673;0
233;1;0.632818803;0.18135937;0
234;1;0.56549166;0.1190127;0
235;1;0.520102751;0.043465496;0
236;1;0.554798751;0.001768996;0
237;1;0.575350827;0;0
238;1;0.573107625;0;0
239;1;0.560354776;0;0
240;1;0.576769297;0;0
241;1;0.589211977;0;0
242;1;0.576330447;0;0
243;1;0.560652036;0;0
244;1;0.552833643;0.000146004;0
245;1;0.54578102;0.019733863;0
246;1;0.462359845;0.090344982;0
247;1;0.371430438;0.183755529;0
248;1;0.376779911;0.255796166;0
249;1;0.407474508;0.316540228;0
250;1;0.44732069;0.359901706;0
251;1;0.46917586;0.364358665;0
252;1;0.482504948;0.351420708;0
253;1;0.488863263;0.379926281;0
254;1;0.486295322;0.40638606;0
255;1;0.454546375;0.396153562;0
256;1;0.412991848;0.37920885;0
257;1;0.345758252;0.352589992;0
258;1;0.272906523;0.29737434;0
259;1;0.221197808;0.125584244;0
260;1;0.24809867;0.005978883;0
261;1;0.249834421;0;0
262;1;0.226351055;0;0
263;1;0.181212312;0;0
264;1;0.145486662;0;0
265;1;0.121807234;0;0
266;1;0.111060411;0;0
267;1;0.112945294;0;0
268;1;0.126407693;0.0000733;0
269;1;0.136085123;0.03498685;0
270;1;0.096684454;0.176369356;0
271;1;0.067608154;0.341207914;0
272;1;0.076938899;0.45323511;0
273;1;0.082668514;0.493754369;0
274;1;0.090853585;0.519914348;0
275;1;0.102541664;0.550523557;0
276;1;0.123137729;0.57375924;0
277;1;0.132189649;0.600668814;0
