Scenarios,Coal,Gas,Total
Base Demand,0.0,4.199664181187822e7,4.199664181187822e7
Base Demand,0.0,1.8559843693406917e7,1.8559843693406917e7
Base Demand,0.0,7.783152351139784e7,7.783152351139784e7
Base Demand,0.0,1.2725881768771e8,1.2725881768771e8
