Scenarios,Coal,Gas,Total
Base Demand,1.0132546215545008e9,6.819266011407054e6,1.0200738875659078e9
Base Demand,7.958621024491074e8,659810.8573357327,7.965219133064431e8
Base Demand,1.1912919484087994e9,3.2447145440405905e7,1.2237390938492053e9
Base Demand,1.308256780814984e9,8.4807456295849e7,1.3930642371108332e9
