Scenarios,Coal,Gas,Total
Base Demand,0.0,1.7135465254810356e7,1.7135465254810356e7
Base Demand,0.0,5.065414264599408e6,5.065414264599408e6
Base Demand,0.0,3.90405507513527e7,3.90405507513527e7
Base Demand,0.0,7.277579440000004e7,7.277579440000004e7
