Scenarios,Coal,Gas,Total
Base Demand,0.0,1.751369019261156e7,1.751369019261156e7
Base Demand,0.0,5.280621962807346e6,5.280621962807346e6
Base Demand,0.0,3.931233010388065e7,3.931233010388065e7
Base Demand,0.0,7.277579440000048e7,7.277579440000048e7
