Scenarios,Coal,Gas,Total
Base Demand,0.0,5.8053392522947446e7,5.8053392522947446e7
Base Demand,0.0,2.7593436805363674e7,2.7593436805363674e7
Base Demand,0.0,1.0260289037684739e8,1.0260289037684739e8
Base Demand,0.0,1.612359905904023e8,1.612359905904023e8
