Scenarios,Coal,Gas,Total
Base Demand,9.740456586721997e8,2.4379782821209628e7,9.984254414934094e8
Base Demand,7.904955302616398e8,3.7343480152662685e6,7.942298782769061e8
Base Demand,1.0968094220271091e9,7.353390912252587e7,1.170343331149635e9
Base Demand,1.1637488994018664e9,1.4707390141926652e8,1.310822800821133e9
