Time_index,Demand-z1,Demand-z2
1,12354.54989,6177.3
2,11558.80721,5779.4
3,11164.27933,5582.1
4,10986.59849,5493.3
5,11029.58579,5514.8
6,11429.84531,5714.9
7,12597.18931,6298.6
8,14674.90879,7337.5
9,15832.70006,7916.4
10,16016.11254,8008.1
11,16138.38752,8069.2
12,16279.76798,8139.9
13,16307.4709,8153.7
14,16251.10978,8125.6
15,16219.58576,8109.8
16,16161.31408,8080.7
17,16386.75859,8193.4
18,17680.19867,8840.1
19,19067.25553,9533.6
20,19101.64537,9550.8
21,18774.9419,9387.5
22,18161.65642,9080.8
23,17085.06339,8542.5
24,15647.37704,7823.7
25,13382.42399,6691.2
26,12504.5278,6252.3
27,11991.54603,5995.8
28,11758.45934,5879.2
29,11690.63493,5845.3
30,11981.99329,5991.0
31,13001.26993,6500.6
32,14867.874,7433.9
33,15967.3936,7983.7
34,16146.02971,8073.0
35,16159.40354,8079.7
36,16146.98498,8073.5
37,16083.93695,8042.0
38,15987.45434,7993.7
39,15984.58852,7992.3
40,15926.31685,7963.2
41,16065.78675,8032.9
42,16978.07278,8489.0
43,17813.93693,8907.0
44,17601.86626,8800.9
45,17065.00265,8532.5
46,16252.06505,8126.0
47,15073.25777,7536.6
48,13573.47865,6786.7
49,12879.95022,6440.0
50,12065.10207,6032.6
51,11618.98943,5809.5
52,11405.00821,5702.5
53,11371.57364,5685.8
54,11684.90329,5842.5
55,12755.76469,6377.9
56,14759.92812,7380.0
57,15852.7608,7926.4
58,15962.61723,7981.3
59,15938.7354,7969.4
60,15870.91099,7935.5
61,15676.99051,7838.5
62,15410.46925,7705.2
63,15184.06947,7592.0
64,14940.47478,7470.2
65,14848.76854,7424.4
66,15360.79504,7680.4
67,16793.70502,8396.9
68,16990.49133,8495.2
69,16591.18708,8295.6
70,15911.03247,7955.5
71,14824.8867,7412.4
72,13394.84254,6697.4
73,11775.65426,5887.8
74,10971.31412,5485.7
75,10564.36768,5282.2
76,10379.04466,5189.5
77,10388.59739,5194.3
78,10736.31688,5368.2
79,11855.89722,5927.9
80,13952.72216,6976.4
81,15035.04684,7517.5
82,15241.38587,7620.7
83,15388.49797,7694.2
84,15534.65478,7767.3
85,15555.6708,7777.8
86,15502.17549,7751.1
87,15483.07002,7741.5
88,15429.57472,7714.8
89,15570.95517,7785.5
90,16253.02032,8126.5
91,17260.83368,8630.4
92,17290.44715,8645.2
93,16914.06946,8457.0
94,16280.72325,8140.4
95,15233.74369,7616.9
96,13845.73155,6922.9
97,12509.30417,6254.7
98,11762.28043,5881.1
99,11418.38203,5709.2
100,11305.65978,5652.8
101,11360.11036,5680.1
102,11756.54879,5878.3
103,12933.44552,6466.7
104,15010.20973,7505.1
105,16020.88891,8010.4
106,16135.5217,8067.8
107,16061.96566,8031.0
108,15963.57251,7981.8
109,15775.38366,7887.7
110,15519.37041,7759.7
111,15393.27433,7696.6
112,15270.99935,7635.5
113,15417.15617,7708.6
114,16053.3682,8026.7
115,17299.99989,8650.0
116,17491.05455,8745.5
117,17072.64483,8536.3
118,16388.66914,8194.3
119,15270.99935,7635.5
120,13800.8337,6900.4
121,11869.27104,5934.6
122,11092.63383,5546.3
123,10657.98447,5329.0
124,10446.86906,5223.4
125,10441.13742,5220.6
126,10749.69071,5374.8
127,11691.5902,5845.8
128,13246.77517,6623.4
129,14424.62718,7212.3
130,15148.72436,7574.4
131,15523.1915,7761.6
132,15781.1153,7890.6
