Time_index,Demand-z1,Demand-z2
1,12507.44199,6253.7
2,11701.8517,5850.9
3,11302.44139,5651.2
4,11122.56169,5561.3
5,11166.08097,5583.0
6,11571.29385,5785.6
7,12753.08416,6376.5
8,14856.51618,7428.3
9,16028.63555,8014.3
10,16214.31782,8107.2
11,16338.106,8169.1
12,16481.23609,8240.6
13,16509.28185,8254.6
14,16452.22323,8226.1
15,16420.30909,8210.2
16,16361.31629,8180.7
17,16589.55075,8294.8
18,17898.99763,8949.5
19,19303.21983,9651.6
20,19338.03526,9669.0
21,19007.28871,9503.6
22,18386.4136,9193.2
23,17296.49733,8648.2
24,15841.01908,7920.5
25,13548.0364,6774.0
26,12659.27593,6329.6
27,12139.94582,6070.0
28,11903.97459,5952.0
29,11835.31084,5917.7
30,12130.27487,6065.1
31,13162.16543,6581.1
32,15051.86941,7525.9
33,16164.99597,8082.5
34,16345.84276,8172.9
35,16359.3821,8179.7
36,16346.80986,8173.4
37,16282.98158,8141.5
38,16185.30496,8092.7
39,16182.40368,8091.2
40,16123.41087,8061.7
41,16264.60677,8132.3
42,17188.18267,8594.1
43,18034.39095,9017.2
44,17819.69582,8909.8
45,17276.18833,8638.1
46,16453.19033,8226.6
47,15259.79488,7629.9
48,13741.45544,6870.7
49,13039.34434,6519.7
50,12214.41215,6107.2
51,11762.7787,5881.4
52,11546.14938,5773.1
53,11512.30105,5756.2
54,11829.50827,5914.8
55,12913.62196,6456.8
56,14942.58766,7471.3
57,16048.94454,8024.5
58,16160.16049,8080.1
59,16135.98311,8068.0
60,16067.31935,8033.7
61,15870.99903,7935.5
62,15601.17947,7800.6
63,15371.97792,7686.0
64,15125.36865,7562.7
65,15032.52751,7516.3
66,15550.89053,7775.4
67,17001.5333,8500.8
68,17200.75491,8600.4
69,16796.50912,8398.3
70,16107.93735,8054.0
71,15008.35013,7504.2
72,13560.60864,6780.3
73,11921.38231,5960.7
74,11107.08816,5553.5
75,10695.10562,5347.6
76,10507.48915,5253.7
77,10517.1601,5258.6
78,10869.18275,5434.6
79,12002.6183,6001.3
80,14125.39223,7062.7
81,15221.11107,7610.6
82,15430.00363,7715.0
83,15578.93629,7789.5
84,15726.90185,7863.5
85,15748.17794,7874.1
86,15694.02061,7847.0
87,15674.67871,7837.3
88,15620.52138,7810.3
89,15763.65147,7881.8
90,16454.15743,8227.1
91,17474.44284,8737.2
92,17504.42279,8752.2
93,17123.38729,8561.7
94,16482.20319,8241.1
95,15422.26687,7711.1
96,14017.07757,7008.5
97,12701.82812,6350.9
98,11865.29079,5932.6
99,11470.71595,5735.4
100,11322.75039,5661.4
101,11354.66453,5677.3
102,11712.48975,5856.2
103,12816.91245,6408.5
104,14798.49047,7399.2
105,15807.17075,7903.6
106,15952.23503,7976.1
107,15861.32808,7930.7
108,15827.47975,7913.7
109,15695.9548,7848.0
110,15420.33268,7710.2
111,15201.76916,7600.9
112,14931.94961,7466.0
113,14820.73366,7410.4
114,15280.10387,7640.1
115,16741.38469,8370.7
116,17161.104,8580.6
117,16734.61503,8367.3
118,16003.49107,8001.7
119,14841.04266,7420.5
120,13456.16236,6728.1
121,12698.92683,6349.5
122,11863.3566,5931.7
123,11456.20952,5728.1
124,11260.8563,5630.4
125,11270.52725,5635.3
126,11646.72728,5823.4
127,12830.45178,6415.2
128,14896.16709,7448.1
129,15854.55841,7927.3
130,15863.26227,7931.6
131,15760.75018,7880.4
132,15677.57999,7838.8
133,15494.799,7747.4
134,15238.51878,7619.3
135,15072.17841,7536.1
136,14841.04266,7420.5
137,14790.75371,7395.4
138,15231.74912,7615.9
139,16599.2217,8299.6
140,17119.51891,8559.8
141,16822.62069,8411.3
142,16258.8042,8129.4
143,15240.45297,7620.2
144,13855.57267,6927.8
145,12016.15764,6008.1
146,11229.90925,5615.0
147,10789.88094,5394.9
148,10576.15291,5288.1
149,10570.35034,5285.2
150,10882.72208,5441.4
151,11836.27793,5918.1
152,13410.70889,6705.4
153,14603.13725,7301.6
154,15336.19539,7668.1
155,15715.29671,7857.6
156,15976.41241,7988.2
157,16048.94454,8024.5
158,15953.20212,7976.6
159,15900.97898,7950.5
160,15782.99337,7891.5
161,15707.55994,7853.8
162,16000.58978,8000.3
163,16669.81965,8334.9
164,16693.99703,8347.0
165,16158.2263,8079.1
166,15465.78615,7732.9
167,14568.32182,7284.2
168,13421.34693,6710.7
169,11770.51546,5885.3
170,10903.03108,5451.5
171,10414.64801,5207.3
172,10210.59093,5105.3
173,10152.56522,5076.3
174,10400.14159,5200.1
175,11398.18381,5699.1
176,13313.03227,6656.5
177,14518.03287,7259.0
178,14901.00256,7450.5
179,15100.22417,7550.1
180,15272.36711,7636.2
181,15294.6103,7647.3
182,15184.36145,7592.2
183,15114.7306,7557.4
184,14923.24575,7461.6
185,14779.14857,7389.6
186,14751.10281,7375.6
187,14792.6879,7396.3
188,14937.75218,7468.9
189,15305.24835,7652.6
190,14887.46323,7443.7
191,14109.9187,7055.0
192,13012.26567,6506.1
193,11427.19667,5713.6
194,10587.75805,5293.9
195,10132.25622,5066.1
196,9908.857234,4954.4
197,9865.337951,4932.7
198,10159.33489,5079.7
199,11173.81773,5586.9
200,13121.54743,6560.8
201,14272.39069,7136.2
202,14592.4992,7296.2
203,14816.86528,7408.4
204,14989.97532,7495.0
205,15027.69203,7513.8
206,14926.14704,7463.1
207,14843.94395,7422.0
208,14614.74239,7307.4
209,14522.86835,7261.4
210,14638.91977,7319.5
211,14917.44318,7458.7
212,15190.16402,7595.1
213,15696.9219,7848.5
214,15401.95787,7701.0
215,14403.91564,7202.0
216,12991.95667,6496.0
217,11187.35706,5593.7
218,10391.43773,5195.7
219,9979.455182,4989.7
220,9787.003241,4893.5
221,9788.937431,4894.5
222,10131.28913,5065.6
223,11234.74473,5617.4
224,13104.13971,6552.1
225,14193.08889,7096.5
226,14420.35626,7210.2
227,14526.73673,7263.4
228,14599.26887,7299.6
229,14550.91411,7275.5
230,14393.27759,7196.6
231,14298.50226,7149.3
232,14045.12333,7022.6
233,13844.93462,6922.5
234,13812.05339,6906.0
235,13898.12486,6949.1
236,13979.36085,6989.7
237,14662.13005,7331.1
238,14816.86528,7408.4
239,14036.41947,7018.2
240,12750.18288,6375.1
241,11130.29845,5565.1
242,10269.58374,5134.8
243,9747.352338,4873.7
244,9461.092165,4730.5
245,9355.67879,4677.8
246,9400.165168,4700.1
247,9688.359532,4844.2
248,10153.53231,5076.8
249,11004.57607,5502.3
250,11988.11187,5994.1
251,12603.18441,6301.6
252,12808.20859,6404.1
253,12926.1942,6463.1
254,12818.84664,6409.4
255,12356.57514,6178.3
256,11886.56688,5943.3
257,11633.18794,5816.6
258,11569.35966,5784.7
259,11693.14784,5846.6
260,12015.19054,6007.6
261,12940.70063,6470.4
262,13403.93922,6702.0
263,12687.32169,6343.7
264,11585.80028,5792.9
265,10840.16989,5420.1
266,10019.10608,5009.6
267,9549.097826,4774.5
268,9304.422745,4652.2
269,9263.804748,4631.9
270,9528.788827,4764.4
271,10382.73387,5191.4
272,11701.8517,5850.9
273,12931.02968,6465.5
274,13508.3855,6754.2
275,13872.01329,6936.0
276,14137.96446,7069.0
277,14260.78555,7130.4
278,14228.87141,7114.4
279,14236.60817,7118.3
280,14128.29351,7064.1
281,14000.63695,7000.3
282,13975.49247,6987.7
283,13923.26933,6961.6
284,13759.83025,6879.9
285,14034.48528,7017.2
286,14351.6925,7175.8
287,13485.17522,6742.6
288,12162.18901,6081.1
289,11019.0825,5509.5
290,10179.64388,5089.8
291,9765.727147,4882.9
292,9544.26235,4772.1
293,9501.710162,4750.9
294,9787.003241,4893.5
295,10762.80228,5381.4
296,12366.24609,6183.1
297,13568.3454,6784.2
298,13976.45957,6988.2
299,14195.02308,7097.5
300,14359.42926,7179.7
301,14351.6925,7175.8
302,14250.14751,7125.1
303,14206.62822,7103.3
304,14043.18914,7021.6
305,13885.55262,6942.8
306,13902.96034,6951.5
307,13990.966,6995.5
308,14005.47242,7002.7
309,14410.68531,7205.3
310,14780.11567,7390.1
311,13856.53977,6928.3
312,12435.87694,6217.9
313,12008.42087,6004.2
314,11087.74626,5543.9
315,10485.24596,5242.6
316,10135.15751,5067.6
317,9956.244898,4978.1
318,9979.455182,4989.7
319,10083.90146,5042.0
320,10536.50201,5268.3
321,11427.19667,5713.6
322,12659.27593,6329.6
323,13771.43539,6885.7
324,14575.09149,7287.5
325,15177.59178,7588.8
326,15612.78462,7806.4
327,15780.09208,7890.0
328,15890.34093,7945.2
329,16014.12912,8007.1
330,16236.56101,8118.3
331,16408.70395,8204.4
332,16218.1862,8109.1
333,16013.16202,8006.6
334,16228.82425,8114.4
335,15493.83191,7746.9
336,13920.36805,6960.2
337,12125.43939,6062.7
338,11151.57454,5575.8
339,10560.67939,5280.3
340,10227.03155,5113.5
341,10114.84851,5057.4
342,10311.16883,5155.6
343,10918.5046,5459.3
344,12293.71395,6146.9
345,13798.51406,6899.3
346,14768.51052,7384.3
347,15458.04939,7729.0
348,16044.10907,8022.1
349,16412.57233,8206.3
350,16581.81399,8290.9
351,16841.96259,8421.0
352,16924.16568,8462.1
