Gas-z1,Gas-z2,Gas turbine-z1,Gas turbine-z2,Wind-z1,Wind-z2,Solar-z1,Solar-z2,Nuclear-z1,Nuclear-z2,Coal-z1,Coal-z2,Battery-z1,Index,Investment_Cost,EV_SystemCost,CVaR_SystemCost,CVaR_OpCost,EV_OpCost,Expected_Power_Price,Cost_by_zone_baseZone1,Price_by_zone_baseZone1,Cost_by_zone_baseZone2,Price_by_zone_baseZone2,Expected_emissions,CO2_by_zone_baseZone1,CO2_by_zone_baseZone2
15056.052721191158,1.0e-5,1.0e-5,1.0e-5,13149.354109125488,1.0e-5,1.0e-5,1.0e-5,1.0e-5,15967.584755713822,1.0e-5,1.0e-5,1.0e-5,Sample 1,3.534056225985687e9,5.08295701189983e9,7.425659648181598e9,6.234306058477678e9,1.548900785914143e9,46.978333333333325,6.608218441658792e7,47.50916666666669,3.348655293674468e7,46.447500000000005,1.0437363856431648e7,1.0437363819317527e7,0.03711412999999994
1.0e-5,1.0e-5,1.0e-5,16153.953265069265,44550.26069139948,1.0e-5,11415.806115135545,1.0e-5,1.0e-5,5112.884338339873,1.0e-5,1.0e-5,5877.991597870212,Sample 2,3.7426164984161477e9,6.277450207819963e9,1.0908294900010372e10,1.1796523093784632e10,2.5348337094038153e9,66.83658267989924,6.1519965203685746e7,93.00442084982157,7.015326220878595e7,40.66874450997689,1.1154646689853078e7,0.048439639999999985,1.1154646641413448e7
1.0e-5,1.0e-5,2565.323556042991,18189.898598821994,23795.360651515355,1.0e-5,22175.934769126397,1.0e-5,1.0e-5,7109.573829622964,1.0e-5,1.0e-5,818.3279007097259,Sample 3,3.4446446748356366e9,6.238926583738273e9,9.434992222884956e9,9.186413187196001e9,2.794281908902636e9,58.99597311846252,8.581516903609236e7,101.7203823024575,7.334673192214188e7,16.271563934467554,1.3003663320443437e7,691082.7465490932,1.231258057389436e7
1.0e-5,1.0e-5,4790.792404514941,15046.156830286995,27963.746356791817,1.0e-5,19724.653640660345,1.0e-5,1.0e-5,2875.874392183562,1.0e-5,4984.819554802413,356.97054115380257,Sample 4,3.357482309150239e9,4.7171520196985e9,5.819164527980146e9,3.563694727111554e9,1.359669710548261e9,22.635562876916627,1.091891372187729e7,28.823368878806985,7.962278764616045e7,16.447756875026258,2.831792300420404e7,699112.8668264413,2.7618810137377597e7
1.0e-5,1.0e-5,11305.996853278832,2887.3914404372795,18715.481667392647,1.0e-5,15826.071186849413,1.0e-5,1.0e-5,10316.392109451697,1.0e-5,1.0e-5,7224.801011696975,Sample 5,3.575444672469186e9,4.926320290118357e9,6.793471975721868e9,5.085178988856192e9,1.3508756176491714e9,44.04322394959043,4.5271901078398034e7,44.04322394959045,4.023215502352142e7,44.04322394959045,1.0998632927909842e7,6.873559454508993e6,4.125073473400878e6
5376.8012287567735,1.0e-5,3709.990044479874,3338.2327347279065,29380.550004428947,1.0e-5,7812.737459035298,1.0e-5,1.0e-5,12098.046038699411,1.0e-5,2978.258606038243,1.0e-5,Sample 6,4.0180004099247317e9,4.745807534445269e9,5.749581070426003e9,2.735354196482006e9,7.27807124520537e8,19.436597222222222,2.0114265411944512e7,19.434166666666673,2.4217534901516706e7,19.439027777777785,1.0049945858926343e7,3.404279455313786e6,6.645666403612549e6
6638.028056939538,1.0e-5,5518.922446724666,1.0e-5,1.0e-5,1.0e-5,24495.427637326557,1.0e-5,1.0e-5,17547.388237923496,1459.3604635251756,561.1039782030584,1.0e-5,Sample 7,4.056295486958023e9,5.564357069824308e9,7.861765006951939e9,6.102877457121546e9,1.5080615828662848e9,49.932986111111134,6.525889565705146e7,53.29805555555557,3.826907626189353e7,46.56791666666665,1.4214234968983654e7,1.3038020558985027e7,1.1762144099986015e6
5146.390793474373,1.0e-5,3894.1543620581933,6148.955753548226,9975.599117560741,1.0e-5,25835.756775716836,1.0e-5,2704.863751415941,11536.178648403798,1.0e-5,767.2438416569756,1.0e-5,Sample 8,3.983606622029939e9,4.908103365895261e9,5.963563114447656e9,3.0354162409701123e9,9.244967438653213e8,22.839305555555555,3.4194119237267025e7,22.837916666666672,2.9353582827676855e7,22.84069444444445,9.369608493117826e6,5.309803253396919e6,4.059805239720911e6
4725.010133852959,1.0e-5,5451.9970198547835,8018.195895043001,19922.66013793506,1.0e-5,11564.556343412494,1.0e-5,1.0e-5,10686.264255685377,1.0e-5,2735.4988057513597,1.0e-5,Sample 9,3.6715033095590086e9,4.521004384982047e9,5.118757440351284e9,2.0450071861615117e9,8.495010754230385e8,13.78819444444445,2.554522069322311e7,13.788194444444455,3.330800676416653e7,13.788194444444455,1.5594213694738863e7,4.952051549040481e6,1.0642162145698417e7
1.0e-5,1.0e-5,1.0e-5,11525.14522800414,40005.12007798837,1.0e-5,21650.20132538642,1.0e-5,1.0e-5,9999.201919293224,1.0e-5,1.0e-5,6011.716605835349,Sample 10,4.487966347804135e9,5.278426965102352e9,6.989642314980194e9,4.2128913170539e9,7.904606172982173e8,27.204385225372828,1.7091944305244617e7,36.514757887418604,2.5497058735117387e7,17.89401256332703,3.7504387994366246e6,0.025440205000000014,3.7504387739964174e6
1.0e-5,1.0e-5,6766.686568637937,1.0e-5,19862.843965194927,1.0e-5,746.8595976624347,1.0e-5,1.0e-5,21832.093377466856,1.0e-5,1.0e-5,5392.528542897434,Sample 11,4.526009064009303e9,5.280063941284777e9,6.386692141454201e9,2.967311277614323e9,7.540548772754731e8,19.435021316740176,2.473249968416869e7,26.990475529090528,2.0947067840634312e7,11.87956710438984,3.4226969154263847e6,3.422696912227637e6,0.0031987500000000006
1.0e-5,1.0e-5,7084.730407881787,1168.6022766880953,26952.207221994337,1.0e-5,8083.7723021904,1.0e-5,1.0e-5,17674.723953791046,1.0e-5,1.0e-5,5777.985587145823,Sample 12,4.517240211459309e9,4.987812554899199e9,5.801998813847601e9,2.0989448613366957e9,4.705723434398904e8,13.762227789960098,1.0648366006742092e7,14.017453702583484,1.719553769852139e7,13.507001877336691,2.276891460423171e6,1.744451890353797e6,532439.570069376
110.3541550541749,1.0e-5,3092.4968635756877,13097.311092870897,50981.720776997616,1.0e-5,19174.171853795993,1.0e-5,1.0e-5,1682.2767816027651,1.0e-5,6551.260830649327,1.0e-5,Sample 13,4.174394006890016e9,4.875460212881842e9,5.447928395401085e9,1.846002571030311e9,7.010662059918259e8,12.984583333333333,2.9553856081230706e6,14.207638888888889,4.30931327455677e7,11.761527777777783,1.847732647383258e7,194279.762702301,1.82830467111303e7
