Time_Index,Gas-z1,Gas-z2,Gas turbine-z1,Gas turbine-z2,Wind-z1,Wind-z2,Solar-z1,Solar-z2,Nuclear-z1,Nuclear-z2,Coal-z1,Coal-z2
1,1.0,1.0,1.0,1.0,0.763308138,0.686977,0.0,0.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,0.750113883,0.675102,0.0,0.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,0.729198684,0.656279,0.0,0.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,0.694957807,0.625462,0.0,0.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,0.664635076,0.598172,0.0,0.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,0.652681994,0.587414,0.0,0.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,0.654510032,0.589059,0.0,0.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,0.656831793,0.591149,0.033664686,0.030298,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,0.685611835,0.617051,0.269130372,0.242217,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,0.710704834,0.639634,0.423271241,0.380944,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,0.73184699,0.658662,0.405947109,0.365352,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,0.753444744,0.6781,0.385453311,0.346908,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,0.783215495,0.704894,0.415553129,0.373998,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,0.810086679,0.729078,0.49704918,0.447344,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,0.832747843,0.749473,0.510486648,0.459438,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,0.843621487,0.759259,0.215279193,0.193751,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,0.839757786,0.755782,0.00886383,0.007977,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,0.848142109,0.763328,0.0,0.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,0.847643654,0.762879,0.0,0.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,0.840592293,0.756533,0.0,0.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,0.835683266,0.752115,0.0,0.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,0.815284137,0.733756,0.0,0.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,0.792055638,0.71285,0.0,0.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,0.776937487,0.699244,0.0,0.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,0.820802607,0.738722,0.0,0.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,0.789883522,0.710895,0.0,0.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,0.753749588,0.678375,0.0,0.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,0.711332189,0.640199,0.0,0.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,0.665505007,0.598955,0.0,0.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,0.624366282,0.56193,0.0,0.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,0.586426221,0.527784,0.0,0.0,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,0.539233604,0.48531,0.012335571,0.011102,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,0.440360849,0.396325,0.111824686,0.100642,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0,0.305368134,0.274831,0.211002772,0.189902,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,0.225098663,0.202589,0.228242764,0.205418,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0,0.191535356,0.172382,0.219481193,0.197533,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0,0.188362075,0.169526,0.192389489,0.173151,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,0.224959976,0.202464,0.157232283,0.141509,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,0.308364926,0.277528,0.117894895,0.106105,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,0.44832671,0.403494,0.059914694,0.053923,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0,0.592127681,0.532915,0.005248365,0.004724,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0,0.686716827,0.618045,0.0,0.0,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,1.0,0.741557399,0.667402,0.0,0.0,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,1.0,0.789217585,0.710296,0.0,0.0,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0,0.818236909,0.736413,0.0,0.0,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0,0.833868817,0.750482,0.0,0.0,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,0.842538233,0.758284,0.0,0.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0,0.835800587,0.752221,0.0,0.0,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0,0.294170387,0.264753,0.0,0.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,0.268092116,0.241283,0.0,0.0,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0,0.250329322,0.225296,0.0,0.0,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0,0.242206213,0.217986,0.0,0.0,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0,0.249128385,0.224216,0.0,0.0,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0,0.263513149,0.237162,0.0,0.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,0.27580273,0.248222,0.0,0.0,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0,0.282352269,0.254117,0.045739849,0.041166,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,0.270865607,0.243779,0.20759727,0.186838,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0,0.23452846,0.211076,0.318775797,0.286898,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0,0.205963703,0.185367,0.377176797,0.339459,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,0.18877602,0.169898,0.388770769,0.349894,1.0,1.0,1.0,1.0
61,1.0,1.0,1.0,1.0,0.189577132,0.170619,0.397549377,0.357794,1.0,1.0,1.0,1.0
62,1.0,1.0,1.0,1.0,0.209718966,0.188747,0.402487708,0.362239,1.0,1.0,1.0,1.0
63,1.0,1.0,1.0,1.0,0.24429384,0.219864,0.369885403,0.332897,1.0,1.0,1.0,1.0
64,1.0,1.0,1.0,1.0,0.312626048,0.281363,0.214390889,0.192952,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,0.393469348,0.354122,0.037152369,0.033437,1.0,1.0,1.0,1.0
66,1.0,1.0,1.0,1.0,0.435034757,0.391531,0.0,0.0,1.0,1.0,1.0,1.0
67,1.0,1.0,1.0,1.0,0.459820986,0.413839,0.0,0.0,1.0,1.0,1.0,1.0
68,1.0,1.0,1.0,1.0,0.469260262,0.422334,0.0,0.0,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,1.0,0.481865898,0.433679,0.0,0.0,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0,0.4973409,0.447607,0.0,0.0,1.0,1.0,1.0,1.0
71,1.0,1.0,1.0,1.0,0.516113785,0.464502,0.0,0.0,1.0,1.0,1.0,1.0
72,1.0,1.0,1.0,1.0,0.530040292,0.477036,0.0,0.0,1.0,1.0,1.0,1.0
73,1.0,1.0,1.0,1.0,0.538371818,0.484535,0.0,0.0,1.0,1.0,1.0,1.0
74,1.0,1.0,1.0,1.0,0.546930869,0.492238,0.0,0.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,0.566264207,0.509638,0.0,0.0,1.0,1.0,1.0,1.0
76,1.0,1.0,1.0,1.0,0.582842102,0.524558,0.0,0.0,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0,0.596353147,0.536718,0.0,0.0,1.0,1.0,1.0,1.0
78,1.0,1.0,1.0,1.0,0.616470543,0.554823,0.0,0.0,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0,0.640073688,0.576066,0.0,0.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,0.6496946,0.584725,0.017809861,0.016029,1.0,1.0,1.0,1.0
81,1.0,1.0,1.0,1.0,0.6268748,0.564187,0.097008163,0.087307,1.0,1.0,1.0,1.0
82,1.0,1.0,1.0,1.0,0.585064356,0.526558,0.157228805,0.141506,1.0,1.0,1.0,1.0
83,1.0,1.0,1.0,1.0,0.53541501,0.481874,0.179756511,0.161781,1.0,1.0,1.0,1.0
84,1.0,1.0,1.0,1.0,0.515199522,0.46368,0.190112869,0.171102,1.0,1.0,1.0,1.0
85,1.0,1.0,1.0,1.0,0.51966112,0.467695,0.211021305,0.189919,1.0,1.0,1.0,1.0
86,1.0,1.0,1.0,1.0,0.52866782,0.475801,0.257650999,0.231886,1.0,1.0,1.0,1.0
87,1.0,1.0,1.0,1.0,0.56072644,0.504654,0.308697439,0.277828,1.0,1.0,1.0,1.0
88,1.0,1.0,1.0,1.0,0.574684158,0.517216,0.252005158,0.226805,1.0,1.0,1.0,1.0
89,1.0,1.0,1.0,1.0,0.604646466,0.544182,0.05757524,0.051818,1.0,1.0,1.0,1.0
90,1.0,1.0,1.0,1.0,0.639791997,0.575813,0.0,0.0,1.0,1.0,1.0,1.0
91,1.0,1.0,1.0,1.0,0.650475154,0.585428,0.0,0.0,1.0,1.0,1.0,1.0
92,1.0,1.0,1.0,1.0,0.662968887,0.596672,0.0,0.0,1.0,1.0,1.0,1.0
93,1.0,1.0,1.0,1.0,0.662805768,0.596525,0.0,0.0,1.0,1.0,1.0,1.0
94,1.0,1.0,1.0,1.0,0.640670289,0.576603,0.0,0.0,1.0,1.0,1.0,1.0
95,1.0,1.0,1.0,1.0,0.617786434,0.556008,0.0,0.0,1.0,1.0,1.0,1.0
96,1.0,1.0,1.0,1.0,0.59003929,0.531035,0.0,0.0,1.0,1.0,1.0,1.0
97,1.0,1.0,1.0,1.0,0.575304016,0.517774,0.0,0.0,1.0,1.0,1.0,1.0
98,1.0,1.0,1.0,1.0,0.538433387,0.48459,0.0,0.0,1.0,1.0,1.0,1.0
99,1.0,1.0,1.0,1.0,0.505744956,0.45517,0.0,0.0,1.0,1.0,1.0,1.0
100,1.0,1.0,1.0,1.0,0.453400951,0.408061,0.0,0.0,1.0,1.0,1.0,1.0
101,1.0,1.0,1.0,1.0,0.394475254,0.355028,0.0,0.0,1.0,1.0,1.0,1.0
102,1.0,1.0,1.0,1.0,0.355742412,0.320168,0.0,0.0,1.0,1.0,1.0,1.0
103,1.0,1.0,1.0,1.0,0.333905566,0.300515,1.37e-05,1.2e-05,1.0,1.0,1.0,1.0
104,1.0,1.0,1.0,1.0,0.311722503,0.28055,0.040167616,0.036151,1.0,1.0,1.0,1.0
105,1.0,1.0,1.0,1.0,0.189466138,0.17052,0.183103664,0.164793,1.0,1.0,1.0,1.0
106,1.0,1.0,1.0,1.0,0.142179827,0.127962,0.319193153,0.287274,1.0,1.0,1.0,1.0
107,1.0,1.0,1.0,1.0,0.117916566,0.106125,0.345323968,0.310792,1.0,1.0,1.0,1.0
108,1.0,1.0,1.0,1.0,0.117340714,0.105607,0.330485679,0.297437,1.0,1.0,1.0,1.0
109,1.0,1.0,1.0,1.0,0.136567815,0.122911,0.326342824,0.293709,1.0,1.0,1.0,1.0
110,1.0,1.0,1.0,1.0,0.147979876,0.133182,0.310705891,0.279635,1.0,1.0,1.0,1.0
111,1.0,1.0,1.0,1.0,0.167872246,0.151085,0.272429486,0.245187,1.0,1.0,1.0,1.0
112,1.0,1.0,1.0,1.0,0.207551044,0.186796,0.161130512,0.145017,1.0,1.0,1.0,1.0
113,1.0,1.0,1.0,1.0,0.292386399,0.263148,0.026703707,0.024033,1.0,1.0,1.0,1.0
114,1.0,1.0,1.0,1.0,0.372990262,0.335691,0.0,0.0,1.0,1.0,1.0,1.0
115,1.0,1.0,1.0,1.0,0.405543747,0.364989,0.0,0.0,1.0,1.0,1.0,1.0
116,1.0,1.0,1.0,1.0,0.404972617,0.364475,0.0,0.0,1.0,1.0,1.0,1.0
117,1.0,1.0,1.0,1.0,0.408190218,0.367371,0.0,0.0,1.0,1.0,1.0,1.0
118,1.0,1.0,1.0,1.0,0.413194334,0.371875,0.0,0.0,1.0,1.0,1.0,1.0
119,1.0,1.0,1.0,1.0,0.431937618,0.388744,0.0,0.0,1.0,1.0,1.0,1.0
120,1.0,1.0,1.0,1.0,0.468269486,0.421443,0.0,0.0,1.0,1.0,1.0,1.0
121,1.0,1.0,1.0,1.0,0.497165301,0.447449,0.0,0.0,1.0,1.0,1.0,1.0
122,1.0,1.0,1.0,1.0,0.522988326,0.470689,0.0,0.0,1.0,1.0,1.0,1.0
123,1.0,1.0,1.0,1.0,0.529077122,0.476169,0.0,0.0,1.0,1.0,1.0,1.0
124,1.0,1.0,1.0,1.0,0.531289234,0.47816,0.0,0.0,1.0,1.0,1.0,1.0
125,1.0,1.0,1.0,1.0,0.557011427,0.50131,0.0,0.0,1.0,1.0,1.0,1.0
126,1.0,1.0,1.0,1.0,0.554112315,0.498701,0.0,0.0,1.0,1.0,1.0,1.0
127,1.0,1.0,1.0,1.0,0.548185116,0.493367,7.58e-05,6.8e-05,1.0,1.0,1.0,1.0
128,1.0,1.0,1.0,1.0,0.519995662,0.467996,0.124014985,0.111613,1.0,1.0,1.0,1.0
129,1.0,1.0,1.0,1.0,0.449147759,0.404233,0.500414998,0.450373,1.0,1.0,1.0,1.0
130,1.0,1.0,1.0,1.0,0.426036621,0.383433,0.632596702,0.569337,1.0,1.0,1.0,1.0
131,1.0,1.0,1.0,1.0,0.428871321,0.385984,0.589339624,0.530406,1.0,1.0,1.0,1.0
132,1.0,1.0,1.0,1.0,0.433039381,0.389735,0.543781003,0.489403,1.0,1.0,1.0,1.0
133,1.0,1.0,1.0,1.0,0.447010852,0.40231,0.541648913,0.487484,1.0,1.0,1.0,1.0
134,1.0,1.0,1.0,1.0,0.46508269,0.418574,0.595755815,0.53618,1.0,1.0,1.0,1.0
135,1.0,1.0,1.0,1.0,0.465149497,0.418635,0.635886744,0.572298,1.0,1.0,1.0,1.0
136,1.0,1.0,1.0,1.0,0.445133061,0.40062,0.469687142,0.422718,1.0,1.0,1.0,1.0
137,1.0,1.0,1.0,1.0,0.503983764,0.453585,0.104177458,0.09376,1.0,1.0,1.0,1.0
138,1.0,1.0,1.0,1.0,0.590148893,0.531134,3.11e-05,2.8e-05,1.0,1.0,1.0,1.0
139,1.0,1.0,1.0,1.0,0.623070627,0.560764,0.0,0.0,1.0,1.0,1.0,1.0
140,1.0,1.0,1.0,1.0,0.62461365,0.562152,0.0,0.0,1.0,1.0,1.0,1.0
141,1.0,1.0,1.0,1.0,0.620013186,0.558012,0.0,0.0,1.0,1.0,1.0,1.0
142,1.0,1.0,1.0,1.0,0.608081898,0.547274,0.0,0.0,1.0,1.0,1.0,1.0
143,1.0,1.0,1.0,1.0,0.584311138,0.52588,0.0,0.0,1.0,1.0,1.0,1.0
144,1.0,1.0,1.0,1.0,0.562022966,0.505821,0.0,0.0,1.0,1.0,1.0,1.0
145,1.0,1.0,1.0,1.0,0.495114342,0.445603,0.0,0.0,1.0,1.0,1.0,1.0
146,1.0,1.0,1.0,1.0,0.53131535,0.478184,0.0,0.0,1.0,1.0,1.0,1.0
147,1.0,1.0,1.0,1.0,0.569244523,0.51232,0.0,0.0,1.0,1.0,1.0,1.0
148,1.0,1.0,1.0,1.0,0.597554648,0.537799,0.0,0.0,1.0,1.0,1.0,1.0
149,1.0,1.0,1.0,1.0,0.629177346,0.56626,0.0,0.0,1.0,1.0,1.0,1.0
150,1.0,1.0,1.0,1.0,0.66473588,0.598262,0.0,0.0,1.0,1.0,1.0,1.0
151,1.0,1.0,1.0,1.0,0.686328019,0.617695,0.047233879,0.04251,1.0,1.0,1.0,1.0
152,1.0,1.0,1.0,1.0,0.685889954,0.617301,0.34803969,0.313236,1.0,1.0,1.0,1.0
153,1.0,1.0,1.0,1.0,0.661806779,0.595626,0.618446866,0.556602,1.0,1.0,1.0,1.0
154,1.0,1.0,1.0,1.0,0.642064437,0.577858,0.698777946,0.6289,1.0,1.0,1.0,1.0
155,1.0,1.0,1.0,1.0,0.641947353,0.577753,0.708321656,0.637489,1.0,1.0,1.0,1.0
156,1.0,1.0,1.0,1.0,0.65481375,0.589332,0.702661434,0.632395,1.0,1.0,1.0,1.0
157,1.0,1.0,1.0,1.0,0.666742685,0.600068,0.721957308,0.649762,1.0,1.0,1.0,1.0
158,1.0,1.0,1.0,1.0,0.688168242,0.619351,0.770490264,0.693441,1.0,1.0,1.0,1.0
159,1.0,1.0,1.0,1.0,0.715537196,0.643983,0.802418225,0.722176,1.0,1.0,1.0,1.0
160,1.0,1.0,1.0,1.0,0.760164321,0.684148,0.738049125,0.664244,1.0,1.0,1.0,1.0
161,1.0,1.0,1.0,1.0,0.843604529,0.759244,0.36676117,0.330085,1.0,1.0,1.0,1.0
162,1.0,1.0,1.0,1.0,0.899420068,0.809478,0.034225404,0.030803,1.0,1.0,1.0,1.0
163,1.0,1.0,1.0,1.0,0.90934825,0.818413,0.0,0.0,1.0,1.0,1.0,1.0
164,1.0,1.0,1.0,1.0,0.910620557,0.819559,0.0,0.0,1.0,1.0,1.0,1.0
165,1.0,1.0,1.0,1.0,0.911960698,0.820765,0.0,0.0,1.0,1.0,1.0,1.0
166,1.0,1.0,1.0,1.0,0.907911052,0.81712,0.0,0.0,1.0,1.0,1.0,1.0
167,1.0,1.0,1.0,1.0,0.902320951,0.812089,0.0,0.0,1.0,1.0,1.0,1.0
168,1.0,1.0,1.0,1.0,0.897812776,0.808031,0.0,0.0,1.0,1.0,1.0,1.0
169,1.0,1.0,1.0,1.0,0.711149425,0.640034,0.0,0.0,1.0,1.0,1.0,1.0
170,1.0,1.0,1.0,1.0,0.694738207,0.625264,0.0,0.0,1.0,1.0,1.0,1.0
171,1.0,1.0,1.0,1.0,0.680858569,0.612773,0.0,0.0,1.0,1.0,1.0,1.0
172,1.0,1.0,1.0,1.0,0.658090243,0.592281,0.0,0.0,1.0,1.0,1.0,1.0
173,1.0,1.0,1.0,1.0,0.626640805,0.563977,0.0,0.0,1.0,1.0,1.0,1.0
174,1.0,1.0,1.0,1.0,0.597576561,0.537819,0.000103,9.3e-05,1.0,1.0,1.0,1.0
175,1.0,1.0,1.0,1.0,0.555729252,0.500156,0.121999469,0.1098,1.0,1.0,1.0,1.0
176,1.0,1.0,1.0,1.0,0.440487993,0.396439,0.578165613,0.520349,1.0,1.0,1.0,1.0
177,1.0,1.0,1.0,1.0,0.303522048,0.27317,0.808559336,0.727703,1.0,1.0,1.0,1.0
178,1.0,1.0,1.0,1.0,0.216283678,0.194655,0.817797735,0.736018,1.0,1.0,1.0,1.0
179,1.0,1.0,1.0,1.0,0.181219863,0.163098,0.763983708,0.687585,1.0,1.0,1.0,1.0
180,1.0,1.0,1.0,1.0,0.167837792,0.151054,0.728808033,0.655927,1.0,1.0,1.0,1.0
181,1.0,1.0,1.0,1.0,0.155309228,0.139778,0.742474252,0.668227,1.0,1.0,1.0,1.0
182,1.0,1.0,1.0,1.0,0.139313771,0.125382,0.77628316,0.698655,1.0,1.0,1.0,1.0
183,1.0,1.0,1.0,1.0,0.113098101,0.101788,0.783955954,0.70556,1.0,1.0,1.0,1.0
184,1.0,1.0,1.0,1.0,0.09149439,0.082345,0.66475124,0.598276,1.0,1.0,1.0,1.0
185,1.0,1.0,1.0,1.0,0.095849942,0.086265,0.336755258,0.30308,1.0,1.0,1.0,1.0
186,1.0,1.0,1.0,1.0,0.127901482,0.115111,0.038490201,0.034641,1.0,1.0,1.0,1.0
187,1.0,1.0,1.0,1.0,0.167175953,0.150458,0.0,0.0,1.0,1.0,1.0,1.0
188,1.0,1.0,1.0,1.0,0.198967722,0.179071,0.0,0.0,1.0,1.0,1.0,1.0
189,1.0,1.0,1.0,1.0,0.241772328,0.217595,0.0,0.0,1.0,1.0,1.0,1.0
190,1.0,1.0,1.0,1.0,0.272580589,0.245323,0.0,0.0,1.0,1.0,1.0,1.0
191,1.0,1.0,1.0,1.0,0.292548891,0.263294,0.0,0.0,1.0,1.0,1.0,1.0
192,1.0,1.0,1.0,1.0,0.314378676,0.282941,0.0,0.0,1.0,1.0,1.0,1.0
193,1.0,1.0,1.0,1.0,0.575386975,0.517848,0.0,0.0,1.0,1.0,1.0,1.0
194,1.0,1.0,1.0,1.0,0.494074755,0.444667,0.0,0.0,1.0,1.0,1.0,1.0
195,1.0,1.0,1.0,1.0,0.409856959,0.368871,0.0,0.0,1.0,1.0,1.0,1.0
196,1.0,1.0,1.0,1.0,0.354605053,0.319145,0.0,0.0,1.0,1.0,1.0,1.0
197,1.0,1.0,1.0,1.0,0.324834524,0.292351,0.0,0.0,1.0,1.0,1.0,1.0
198,1.0,1.0,1.0,1.0,0.313870984,0.282484,0.006466159,0.00582,1.0,1.0,1.0,1.0
199,1.0,1.0,1.0,1.0,0.279869497,0.251883,0.139476703,0.125529,1.0,1.0,1.0,1.0
200,1.0,1.0,1.0,1.0,0.211217636,0.190096,0.404267318,0.363841,1.0,1.0,1.0,1.0
201,1.0,1.0,1.0,1.0,0.159507835,0.143557,0.544176023,0.489758,1.0,1.0,1.0,1.0
202,1.0,1.0,1.0,1.0,0.133957355,0.120562,0.592373788,0.533136,1.0,1.0,1.0,1.0
203,1.0,1.0,1.0,1.0,0.12162144,0.109459,0.604450165,0.544005,1.0,1.0,1.0,1.0
204,1.0,1.0,1.0,1.0,0.116182527,0.104564,0.610500829,0.549451,1.0,1.0,1.0,1.0
205,1.0,1.0,1.0,1.0,0.122011614,0.10981,0.596302936,0.536673,1.0,1.0,1.0,1.0
206,1.0,1.0,1.0,1.0,0.124001163,0.111601,0.577839908,0.520056,1.0,1.0,1.0,1.0
207,1.0,1.0,1.0,1.0,0.125212834,0.112692,0.525426976,0.472884,1.0,1.0,1.0,1.0
208,1.0,1.0,1.0,1.0,0.126511527,0.11386,0.408453495,0.367608,1.0,1.0,1.0,1.0
209,1.0,1.0,1.0,1.0,0.117633117,0.10587,0.216030411,0.194427,1.0,1.0,1.0,1.0
210,1.0,1.0,1.0,1.0,0.148953536,0.134058,0.042884204,0.038596,1.0,1.0,1.0,1.0
211,1.0,1.0,1.0,1.0,0.175943724,0.158349,1.1e-06,1e-06,1.0,1.0,1.0,1.0
212,1.0,1.0,1.0,1.0,0.172831341,0.155548,0.0,0.0,1.0,1.0,1.0,1.0
213,1.0,1.0,1.0,1.0,0.161286812,0.145158,0.0,0.0,1.0,1.0,1.0,1.0
214,1.0,1.0,1.0,1.0,0.14685537,0.13217,0.0,0.0,1.0,1.0,1.0,1.0
215,1.0,1.0,1.0,1.0,0.142043165,0.127839,0.0,0.0,1.0,1.0,1.0,1.0
216,1.0,1.0,1.0,1.0,0.147575235,0.132818,0.0,0.0,1.0,1.0,1.0,1.0
217,1.0,1.0,1.0,1.0,0.758758159,0.682882,0.0,0.0,1.0,1.0,1.0,1.0
218,1.0,1.0,1.0,1.0,0.715124569,0.643612,0.0,0.0,1.0,1.0,1.0,1.0
219,1.0,1.0,1.0,1.0,0.721784601,0.649606,0.0,0.0,1.0,1.0,1.0,1.0
220,1.0,1.0,1.0,1.0,0.732993817,0.659694,0.0,0.0,1.0,1.0,1.0,1.0
221,1.0,1.0,1.0,1.0,0.74967268,0.674705,0.0,0.0,1.0,1.0,1.0,1.0
222,1.0,1.0,1.0,1.0,0.765089039,0.68858,0.056151798,0.050537,1.0,1.0,1.0,1.0
223,1.0,1.0,1.0,1.0,0.738047668,0.664243,0.486702705,0.438032,1.0,1.0,1.0,1.0
224,1.0,1.0,1.0,1.0,0.729625692,0.656663,0.89188402,0.802696,1.0,1.0,1.0,1.0
225,1.0,1.0,1.0,1.0,0.741272889,0.667146,0.958125403,0.862313,1.0,1.0,1.0,1.0
226,1.0,1.0,1.0,1.0,0.757101887,0.681392,0.959048457,0.863144,1.0,1.0,1.0,1.0
227,1.0,1.0,1.0,1.0,0.773254163,0.695929,0.925834796,0.833251,1.0,1.0,1.0,1.0
228,1.0,1.0,1.0,1.0,0.788609908,0.709749,0.898475895,0.808628,1.0,1.0,1.0,1.0
229,1.0,1.0,1.0,1.0,0.80515739,0.724642,0.900052562,0.810047,1.0,1.0,1.0,1.0
230,1.0,1.0,1.0,1.0,0.800173066,0.720156,0.928871931,0.835985,1.0,1.0,1.0,1.0
231,1.0,1.0,1.0,1.0,0.790296107,0.711266,0.955475852,0.859928,1.0,1.0,1.0,1.0
232,1.0,1.0,1.0,1.0,0.769952793,0.692958,0.914203335,0.822783,1.0,1.0,1.0,1.0
233,1.0,1.0,1.0,1.0,0.710293854,0.639264,0.685817889,0.617236,1.0,1.0,1.0,1.0
234,1.0,1.0,1.0,1.0,0.65019114,0.585172,0.204622334,0.18416,1.0,1.0,1.0,1.0
235,1.0,1.0,1.0,1.0,0.716585621,0.644927,0.003743539,0.003369,1.0,1.0,1.0,1.0
236,1.0,1.0,1.0,1.0,0.714230955,0.642808,0.0,0.0,1.0,1.0,1.0,1.0
237,1.0,1.0,1.0,1.0,0.677582721,0.609824,0.0,0.0,1.0,1.0,1.0,1.0
238,1.0,1.0,1.0,1.0,0.633874268,0.570487,0.0,0.0,1.0,1.0,1.0,1.0
239,1.0,1.0,1.0,1.0,0.597761169,0.537985,0.0,0.0,1.0,1.0,1.0,1.0
240,1.0,1.0,1.0,1.0,0.530655531,0.47759,0.0,0.0,1.0,1.0,1.0,1.0
241,1.0,1.0,1.0,1.0,0.460614395,0.414553,0.0,0.0,1.0,1.0,1.0,1.0
242,1.0,1.0,1.0,1.0,0.437757606,0.393982,0.0,0.0,1.0,1.0,1.0,1.0
243,1.0,1.0,1.0,1.0,0.412315912,0.371084,0.0,0.0,1.0,1.0,1.0,1.0
