Time_index,Load,Load_alternative_scenario_1,Load_alternative_scenario_2
1,12962,6481,19443
2,12214,6107,18321
3,11564,5782,17346
4,11069,5534.5,16603.5
5,10820,5410,16230
6,10784,5392,16176
7,10984,5492,16476
8,11389,5694.5,17083.5
9,11738,5869,17607
10,12362,6181,18543
11,12959,6479.5,19438.5
12,13334,6667,20001
13,13482,6741,20223
14,13554,6777,20331
15,13431,6715.5,20146.5
16,13307,6653.5,19960.5
17,13399,6699.5,20098.5
18,14719,7359.5,22078.5
19,15955,7977.5,23932.5
20,15848,7924,23772
21,15366,7683,23049
22,14798,7399,22197
23,13997,6998.5,20995.5
24,12990,6495,19485
25,11898,5949,17847
26,10975,5487.5,16462.5
27,10423,5211.5,15634.5
28,10152,5076,15228
29,10097,5048.5,15145.5
30,10322,5161,15483
31,10884,5442,16326
32,11715,5857.5,17572.5
33,12395,6197.5,18592.5
34,13250,6625,19875
35,14129,7064.5,21193.5
36,14756,7378,22134
37,15024,7512,22536
38,15006,7503,22509
39,14898,7449,22347
40,14853,7426.5,22279.5
41,15085,7542.5,22627.5
42,16512,8256,24768
43,17925,8962.5,26887.5
44,17786,8893,26679
45,17347,8673.5,26020.5
46,16650,8325,24975
47,15550,7775,23325
48,14188,7094,21282
49,12933,6466.5,19399.5
50,12100,6050,18150
51,11687,5843.5,17530.5
52,11501,5750.5,17251.5
53,11546,5773,17319
54,11965,5982.5,17947.5
55,13187,6593.5,19780.5
56,15362,7681,23043
57,16574,8287,24861
58,16766,8383,25149
59,16894,8447,25341
60,17042,8521,25563
61,17071,8535.5,25606.5
62,17012,8506,25518
63,16979,8489.5,25468.5
64,16918,8459,25377
65,17154,8577,25731
66,18508,9254,27762
67,19960,9980,29940
68,19996,9998,29994
69,19654,9827,29481
70,19012,9506,28518
71,17885,8942.5,26827.5
72,16380,8190,24570
73,15060,7530,22590
74,14241,7120.5,21361.5
75,13808,6904,20712
76,13602,6801,20403
77,13636,6818,20454
78,14002,7001,21003
79,15162,7581,22743
80,17304,8652,25956
81,18426,9213,27639
82,18463,9231.5,27694.5
83,18413,9206.5,27619.5
84,18368,9184,27552
85,18206,9103,27309
86,17954,8977,26931
87,17810,8905,26715
88,17690,8845,26535
89,17880,8940,26820
90,19126,9563,28689
91,20123,10061.5,30184.5
92,19975,9987.5,29962.5
93,19497,9748.5,29245.5
94,18739,9369.5,28108.5
95,17520,8760,26280
96,15939,7969.5,23908.5
97,14464,7232,21696
98,13523,6761.5,20284.5
99,13033,6516.5,19549.5
100,12790,6395,19185
101,12743,6371.5,19114.5
102,13071,6535.5,19606.5
103,14148,7074,21222
104,16185,8092.5,24277.5
105,17367,8683.5,26050.5
106,17496,8748,26244
107,17579,8789.5,26368.5
108,17506,8753,26259
109,17252,8626,25878
110,17037,8518.5,25555.5
111,16954,8477,25431
112,16822,8411,25233
113,16931,8465.5,25396.5
114,18019,9009.5,27028.5
115,19190,9595,28785
116,19117,9558.5,28675.5
117,18670,9335,28005
118,17976,8988,26964
119,16818,8409,25227
120,15273,7636.5,22909.5
121,13935,6967.5,20902.5
122,13051,6525.5,19576.5
123,12597,6298.5,18895.5
124,12359,6179.5,18538.5
125,12290,6145,18435
126,12589,6294.5,18883.5
127,13643,6821.5,20464.5
128,15627,7813.5,23440.5
129,16811,8405.5,25216.5
130,16951,8475.5,25426.5
131,16963,8481.5,25444.5
132,16895,8447.5,25342.5
133,16653,8326.5,24979.5
134,16383,8191.5,24574.5
135,16232,8116,24348
136,16002,8001,24003
137,16080,8040,24120
138,17024,8512,25536
139,17922,8961,26883
140,17627,8813.5,26440.5
141,17119,8559.5,25678.5
142,16445,8222.5,24667.5
143,15559,7779.5,23338.5
144,14364,7182,21546
145,13127,6563.5,19690.5
146,12186,6093,18279
147,11670,5835,17505
148,11391,5695.5,17086.5
149,11278,5639,16917
150,11389,5694.5,17083.5
151,11820,5910,17730
152,12597,6298.5,18895.5
153,13396,6698,20094
154,14243,7121.5,21364.5
155,14763,7381.5,22144.5
156,14900,7450,22350
157,14778,7389,22167
158,14505,7252.5,21757.5
159,14202,7101,21303
160,13987,6993.5,20980.5
161,14134,7067,21201
162,15179,7589.5,22768.5
163,16220,8110,24330
164,16035,8017.5,24052.5
165,15518,7759,23277
166,15016,7508,22524
167,14314,7157,21471
168,13401,6700.5,20101.5
