Time_index,Demand-base,Demand-1,Demand-2,,,,,,,,,,,
676,10478,7858.5,13097.5,,1,10478,7858.5,13097.5,,,,,,
677,10340,7755,12925,,1,10340,7755,12925,,,,,,
678,10407,7805.25,13008.75,,1,10407,7805.25,13008.75,,,,,,
679,10719,8039.25,13398.75,,1,10719,8039.25,13398.75,,,,,,
680,11321,8490.75,14151.25,,1,11321,8490.75,14151.25,,,,,,
681,11981,8985.75,14976.25,,1,11981,8985.75,14976.25,,,,,,
682,12970,9727.5,16212.5,,1,12970,9727.5,16212.5,,,,,,
683,13741,10305.75,17176.25,,1,13741,10305.75,17176.25,,,,,,
684,14132,10599,17665,,1,14132,10599,17665,,,,,,
685,14350,10762.5,17937.5,,1,14350,10762.5,17937.5,,,,,,
686,14437,10827.75,18046.25,,1,14437,10827.75,18046.25,,,,,,
687,14352,10764,17940,,1,14352,10764,17940,,,,,,
688,14276,10707,17845,,1,14276,10707,17845,,,,,,
689,14660,10995,18325,,1,14660,10995,18325,,,,,,
690,16391,12293.25,20488.75,,1,16391,12293.25,20488.75,,,,,,
691,17344,13008,21680,,1,17344,13008,21680,,,,,,
692,17255,12941.25,21568.75,,1,17255,12941.25,21568.75,,,,,,
693,16845,12633.75,21056.25,,1,16845,12633.75,21056.25,,,,,,
694,16178,12133.5,20222.5,,1,16178,12133.5,20222.5,,,,,,
695,15081,11310.75,18851.25,,1,15081,11310.75,18851.25,,,,,,
696,13638,10228.5,17047.5,,1,13638,10228.5,17047.5,,,,,,
697,13303,9977.25,16628.75,,19,252757,189567.75,315946.25,,,,,,
698,12191,9143.25,15238.75,,19,231629,173721.75,289536.25,,,,,,
699,11649,8736.75,14561.25,,19,221331,165998.25,276663.75,,,,,,
700,11347,8510.25,14183.75,,19,215593,161694.75,269491.25,,,,,,
701,11267,8450.25,14083.75,,19,214073,160554.75,267591.25,,,,,,
702,11560,8670,14450,,19,219640,164730,274550,,,,,,
703,12672,9504,15840,,19,240768,180576,300960,,,,,,
704,14721,11040.75,18401.25,,19,279699,209774.25,349623.75,,,,,,
705,16006,12004.5,20007.5,,19,304114,228085.5,380142.5,,,,,,
706,16226,12169.5,20282.5,,19,308294,231220.5,385367.5,,,,,,
707,16320,12240,20400,,19,310080,232560,387600,,,,,,
708,16403,12302.25,20503.75,,19,311657,233742.75,389571.25,,,,,,
709,16376,12282,20470,,19,311144,233358,388930,,,,,,
710,16206,12154.5,20257.5,,19,307914,230935.5,384892.5,,,,,,
711,16136,12102,20170,,19,306584,229938,383230,,,,,,
712,16017,12012.75,20021.25,,19,304323,228242.25,380403.75,,,,,,
713,16205,12153.75,20256.25,,19,307895,230921.25,384868.75,,,,,,
714,17481,13110.75,21851.25,,19,332139,249104.25,415173.75,,,,,,
715,18436,13827,23045,,19,350284,262713,437855,,,,,,
716,18299,13724.25,22873.75,,19,347681,260760.75,434601.25,,,,,,
717,17881,13410.75,22351.25,,19,339739,254804.25,424673.75,,,,,,
718,17194,12895.5,21492.5,,19,326686,245014.5,408357.5,,,,,,
719,16062,12046.5,20077.5,,19,305178,228883.5,381472.5,,,,,,
720,14480,10860,18100,,19,275120,206340,343900,,,,,,
