Time_index;Nuclear;Coal;Gas;Onshore_Wind;Offshore_Wind_Fixed;Offshore_Wind_Float;Solar;NS_Fixed_Wind;NS_Floating_Wind;Storage
63;1;1;1;0.868863192;0.735866432;0.735866432;0.15112947;0.456883852;0.456883852;1
64;1;1;1;0.877789338;0.782911673;0.782911673;0.068605372;0.38985698;0.38985698;1
65;1;1;1;0.889744189;0.821655965;0.821655965;0.002789407;0.392714673;0.392714673;1
66;1;1;1;0.902324904;0.853771916;0.853771916;0;0.377660593;0.377660593;1
67;1;1;1;0.906261092;0.873138089;0.873138089;0;0.327894849;0.327894849;1
68;1;1;1;0.904903811;0.861449967;0.861449967;0;0.291367692;0.291367692;1
69;1;1;1;0.904121965;0.841162407;0.841162407;0;0.286219969;0.286219969;1
70;1;1;1;0.90080255;0.833391638;0.833391638;0;0.306770676;0.306770676;1
71;1;1;1;0.888614146;0.857726346;0.857726346;0;0.369578031;0.369578031;1
72;1;1;1;0.88010497;0.854653514;0.854653514;0;0.357639971;0.357639971;1
73;1;1;1;0.872466529;0.855850192;0.855850192;0;0.353742062;0.353742062;1
74;1;1;1;0.859747871;0.868278926;0.868278926;0;0.379133061;0.379133061;1
75;1;1;1;0.839068491;0.875662725;0.875662725;0;0.401644819;0.401644819;1
76;1;1;1;0.820269314;0.877616907;0.877616907;0;0.41894513;0.41894513;1
77;1;1;1;0.791585768;0.872505603;0.872505603;0;0.436520831;0.436520831;1
78;1;1;1;0.74046799;0.847808753;0.847808753;0;0.454161508;0.454161508;1
79;1;1;1;0.691018483;0.818532502;0.818532502;0;0.469397829;0.469397829;1
80;1;1;1;0.631615873;0.781938157;0.781938157;0;0.47576604;0.47576604;1
81;1;1;1;0.574123457;0.732553715;0.732553715;0.003357222;0.478204809;0.478204809;1
82;1;1;1;0.526460507;0.675676456;0.675676456;0.036939244;0.472402704;0.472402704;1
83;1;1;1;0.419518531;0.613113429;0.613113429;0.077177947;0.446631402;0.446631402;1
84;1;1;1;0.425953086;0.55342983;0.55342983;0.112352041;0.427276251;0.427276251;1
85;1;1;1;0.436859279;0.536700933;0.536700933;0.126474022;0.405732084;0.405732084;1
86;1;1;1;0.443775297;0.539922364;0.539922364;0.098610278;0.363612005;0.363612005;1
87;1;1;1;0.421922522;0.542322366;0.542322366;0.069486174;0.325960963;0.325960963;1
88;1;1;1;0.422251864;0.538066504;0.538066504;0.018988529;0.307880529;0.307880529;1
89;1;1;1;0.457789727;0.5444484;0.5444484;0.000860112;0.278984772;0.278984772;1
90;1;1;1;0.504396885;0.559733445;0.559733445;0;0.232245028;0.232245028;1
91;1;1;1;0.541650225;0.565514437;0.565514437;0;0.208735062;0.208735062;1
92;1;1;1;0.580790072;0.622921116;0.622921116;0;0.203120561;0.203120561;1
93;1;1;1;0.612063968;0.664229744;0.664229744;0;0.194621196;0.194621196;1
94;1;1;1;0.660407917;0.691913304;0.691913304;0;0.190519273;0.190519273;1
