Resources;Existing capacity;Investment cost;Operating cost;Emissions_ton_per_MWh;CO2_tax_per_ton_CO2;Storage;Generation;Index_ID
Nuclear;0;388251.8463;10.69054501;0;80;0;1;1
Coal;0;117284.4119;15.28438016;0.986;80;0;1;2
Gas;0;44487.19073;25.8004737;0.419;80;0;1;3
Wind;0;84930.09139;0.334469545;0;80;0;1;4
Solar;0;37454.1703;0.138641588;0;80;0;1;5
Storage;0;174000;0.0;0;80;1;0;6
