Time_index;Load;Load_alternative_scenario_1_low;Load_alternative_scenario_2_high;Load_alternative_scenario_2_Very_high
1;68757.13017;58443.56065;79070.6997;89384.26922
2;66390.80277;56432.18235;76349.42318;86308.0436
3;62668.07669;53267.86518;72068.28819;81468.49969
4;58601.00542;49810.85461;67391.15623;76181.30704
5;54297.70146;46153.04624;62442.35668;70587.0119
6;53477.86653;45456.18655;61499.54651;69521.22649
7;55275.54927;46984.21688;63566.88166;71858.21405
8;58687.0742;49884.01307;67490.13534;76293.19647
9;63981.98812;54384.6899;73579.28634;83176.58455
10;69562.42666;59128.06266;79996.79066;90431.15466
11;73285.93177;62293.042;84278.82154;95271.7113
12;77324.81129;65726.0896;88923.53299;100522.2547
13;79238.47597;67352.70458;91124.24737;103010.0188
14;77766.14181;66101.22054;89431.06308;101095.9844
15;74861.3476;63632.14546;86090.54973;97319.75187
16;75301.35965;64006.1557;86596.56359;97891.76754
17;78259.54334;66520.61184;89998.47484;101737.4063
18;81149.13823;68976.7675;93321.50897;105493.8797
19;81498.39181;69273.63304;93723.15058;105947.9094
20;79151.91768;67279.13002;91024.70533;102897.493
21;75461.32305;64142.1246;86780.52151;98099.71997
22;77595.06527;65955.80548;89234.32506;100873.5848
23;73116.21655;62148.78406;84083.64903;95051.08151
24;68704.88405;58399.15145;79010.61666;89316.34927
25;64812.53476;55090.65455;74534.41498;84256.29519
26;62231.20301;52896.52256;71565.88346;80900.56391
27;58603.07715;49812.61558;67393.53872;76184.0003
28;54704.72652;46499.01754;62910.43549;71116.14447
29;50841.57209;43215.33627;58467.8079;66094.04371
30;52002.80939;44202.38798;59803.2308;67603.65221
31;57098.10063;48533.38554;65662.81573;74227.53082
32;63291.74257;53797.98119;72785.50396;82279.26534
33;68542.07933;58260.76743;78823.39123;89104.70314
34;72718.52037;61810.74232;83626.29843;94534.07648
35;75266.63083;63976.63621;86556.62546;97846.62008
36;78637.41115;66841.79948;90433.02283;102228.6345
37;80059.51956;68050.59162;92068.44749;104077.3754
38;78464.91786;66695.18018;90234.65553;102004.3932
39;75774.45638;64408.28793;87140.62484;98506.7933
40;76709.09351;65202.72948;88215.45753;99721.82156
41;80153.12115;68130.15297;92176.08932;104199.0575
42;82438.22945;70072.49504;94803.96387;107169.6983
43;81876.73502;69595.22477;94158.24527;106439.7555
44;79232.39217;67347.53334;91117.25099;103002.1098
45;75938.66795;64547.86776;87329.46814;98720.26834
46;77814.85343;66142.62542;89487.08144;101159.3095
47;72076.18752;61264.75939;82887.61565;93699.04378
48;66658.31298;56659.56604;76657.05993;86655.80688
49;64750.98133;55038.33413;74463.62853;84176.27573
50;62151.81835;52829.0456;71474.5911;80797.36386
51;58519.32074;49741.42263;67297.21885;76075.11696
52;54594.10729;46404.9912;62783.22338;70972.33948
53;50680.13213;43078.11231;58282.15195;65884.17177
