Time_index;Load;Load_alternative_scenario_1_low;Load_alternative_scenario_2_high;Load_alternative_scenario_2_Very_high
107;137050.0612;116492.552;157607.5704;178165.0796
108;138874.2963;118043.1519;159705.4408;180536.5853
109;140475.7672;119404.4022;161547.1323;182618.4974
110;139405.9289;118495.0396;160316.8183;181227.7076
111;137676.8982;117025.3635;158328.4329;178979.9677
112;136451.5239;115983.7953;156919.2525;177386.9811
113;137370.939;116765.2982;157976.5799;178582.2207
114;138681.8515;117879.5738;159484.1293;180286.407
115;142519.5017;121141.5764;163897.4269;185275.3521
116;142556.9241;121173.3855;163940.4627;185324.0013
117;138959.4984;118115.5736;159803.4231;180647.3479
118;133133.3235;113163.325;153103.3221;173073.3206
119;128984.4739;109636.8028;148332.145;167679.8161
120;124945.9342;106204.044;143687.8243;162429.7144
121;128739.7356;109428.7753;148050.696;167361.6563
122;123711.2415;105154.5553;142267.9277;160824.614
123;120179.9307;102152.9411;138206.9203;156233.91
124;117999.153;100299.2801;135699.026;153398.899
125;116847.4599;99320.3409;134374.5789;151901.6978
126;117069.9064;99509.4204;134630.3923;152190.8783
127;117712.7159;100055.8085;135369.6233;153026.5307
128;118689.867;100886.3869;136493.347;154296.8271
129;123323.8465;104825.2695;141822.4234;160321.0004
130;128679.8869;109377.9039;147981.8699;167283.853
131;133473.6632;113452.6137;153494.7126;173515.7621
132;135877.7944;115496.1253;156259.4636;176641.1327
133;137067.7514;116507.5887;157627.9141;178188.0768
134;135477.0481;115155.4909;155798.6053;176120.1625
135;132752.3926;112839.5337;152665.2515;172578.1104
136;131333.6961;111633.6417;151033.7505;170733.8049
137;132606.5335;112715.5535;152497.5136;172388.4936
138;134959.6615;114715.7122;155203.6107;175447.5599
139;138939.9996;118098.9997;159780.9996;180621.9995
140;138711.1086;117904.4423;159517.7749;180324.4412
141;134645.7087;114448.8524;154842.565;175039.4213
142;130412.233;110850.398;149974.0679;169535.9029
143;128161.6681;108937.4179;147385.9184;166610.1686
144;126175.2645;107248.9748;145101.5542;164027.8439
145;119421.8146;101508.5424;137335.0868;155248.3589
146;114758.0245;97544.32085;131971.7282;149185.4319
147;111463.5634;94744.02893;128183.098;144902.6325
148;109420.8876;93007.75446;125834.0207;142247.1539
149;108233.5702;91998.53464;124468.6057;140703.6412
150;107854.5851;91676.3973;124032.7728;140210.9606
151;106997.7409;90948.07976;123047.402;139097.0632
152;106442.3185;90475.97071;122408.6662;138375.014
153;109974.4338;93478.26874;126470.5989;142966.764
154;115445.9217;98129.03346;132762.81;150079.6982
155;120806.5931;102685.6042;138927.5821;157048.5711
156;124210.6198;105579.0268;142842.2128;161473.8057
157;126549.4466;107567.0296;145531.8636;164514.2806
158;125558.5856;106724.7978;144392.3735;163226.1613
159;123221.6106;104738.369;141704.8522;160188.0938
160;122161.634;103837.3889;140485.8791;158810.1243
161;123804.4661;105233.7962;142375.1361;160945.806
162;126135.7171;107215.3595;145056.0746;163976.4322
163;131081.336;111419.1356;150743.5365;170405.7369
164;133577.7274;113541.0683;153614.3865;173651.0456
165;132054.6047;112246.414;151862.7954;171670.9861
166;127954.4156;108761.2532;147147.5779;166340.7403
167;125364.2842;106559.6416;144168.9269;162973.5695
168;123772.3945;105206.5353;142338.2537;160904.1129
169;127562.5053;108428.1295;146696.8811;165831.2569
170;122663.8538;104264.2757;141063.4318;159463.0099
171;119689.0519;101735.6941;137642.4097;155595.7675
172;118511.6553;100734.907;136288.4036;154065.1519
173;119786.6506;101818.653;137754.6482;155722.6458
174;123886.0611;105303.1519;142468.9703;161051.8794
175;130307.3768;110761.2703;149853.4833;169399.5898
176;141374.649;120168.4516;162580.8463;183787.0437
177;150678.504;128076.7284;173280.2796;195882.0553
178;153892.2671;130808.4271;176976.1072;200059.9473
179;154262.8621;131123.4328;177402.2914;200541.7207
180;154650.032;131452.5272;177847.5368;201045.0416
181;155457.86;132139.181;178776.539;202095.218
182;154368.4183;131213.1556;177523.681;200678.9438
183;153348.6024;130346.312;176350.8927;199353.1831
184;152421.0776;129557.9159;175284.2392;198147.4009
185;153153.2113;130180.2296;176126.193;199099.1747
186;153490.1099;130466.5934;176513.6263;199537.1428
187;155623.623;132280.0796;178967.1665;202310.7099
188;154329.8543;131180.3761;177479.3324;200628.8105
189;150708.747;128102.435;173315.0591;195921.3712
190;145230.5578;123445.9741;167015.1415;188799.7251
191;140814.9696;119692.7242;161937.2151;183059.4605
192;135768.4816;115403.2094;156133.7539;176499.0261
193;126585.5177;107597.69;145573.3453;164561.173
194;121613.5892;103371.5508;139855.6276;158097.6659
195;118570.473;100784.9021;136356.044;154141.6149
196;117341.5728;99740.33685;134942.8087;152544.0446
197;118571.723;100785.9646;136357.4815;154143.2399
198;122743.0224;104331.5691;141154.4758;159565.9291
199;129275.1707;109883.8951;148666.4463;168057.7219
200;140004.1704;119003.5449;161004.796;182005.4216
201;149041.8472;126685.5702;171398.1243;193754.4014
202;152201.7349;129371.4747;175031.9952;197862.2554
203;152715.7138;129808.3568;175623.0709;198530.428
204;153110.0791;130143.5673;176076.591;199043.1029
205;153902.4797;130817.1078;176987.8517;200073.2236
206;152794.8627;129875.6333;175714.0921;198633.3215
207;151701.7112;128946.4545;174456.9679;197212.2245
208;150777.5359;128160.9055;173394.1662;196010.7966
209;151557.5124;128823.8855;174291.1392;197024.7661
210;152145.0516;129323.2939;174966.8094;197788.5671
211;154498.3839;131323.6263;177673.1415;200847.8991
212;153114.627;130147.433;176081.8211;199049.0152
213;149138.5502;126767.7676;171509.3327;193880.1152
214;143534.9784;122004.7317;165065.2252;186595.472
215;139097.0829;118232.5204;159961.6453;180826.2077
216;134054.1986;113946.0688;154162.3284;174270.4582
217;126830.767;107806.1519;145855.382;164879.997
218;121981.4142;103684.2021;140278.6264;158575.8385
219;119057.8039;101199.1334;136916.4745;154775.1451
220;117942.4532;100251.0852;135633.8212;153325.1892
