Time_index;Nuclear;Coal;Gas;Onshore_Wind;Offshore_Wind_Fixed;Offshore_Wind_Float;Solar;Storage
100;1;1;1;0.31582516;0.516351206;0.516351206;0;1
101;1;1;1;0.316289182;0.493193053;0.493193053;0;1
102;1;1;1;0.311752246;0.478628858;0.478628858;0;1
103;1;1;1;0.317622231;0.469094506;0.469094506;0;1
104;1;1;1;0.324396456;0.465195758;0.465195758;0;1
105;1;1;1;0.326282741;0.464745799;0.464745799;0;1
106;1;1;1;0.332148614;0.457720454;0.457720454;0.004696532;1
107;1;1;1;0.351161348;0.447856692;0.447856692;0.098289565;1
108;1;1;1;0.353159613;0.460613998;0.460613998;0.188699808;1
109;1;1;1;0.371472654;0.455958093;0.455958093;0.263447237;1
110;1;1;1;0.378178897;0.444341745;0.444341745;0.26572545;1
111;1;1;1;0.348223938;0.426286575;0.426286575;0.228451183;1
112;1;1;1;0.314098824;0.415119709;0.415119709;0.166972998;1
113;1;1;1;0.28381586;0.406957097;0.406957097;0.071796276;1
114;1;1;1;0.278816858;0.39235114;0.39235114;0.001181506;1
115;1;1;1;0.274766656;0.371094954;0.371094954;0;1
116;1;1;1;0.268910622;0.360130212;0.360130212;0;1
117;1;1;1;0.272556824;0.352965943;0.352965943;0;1
118;1;1;1;0.280516749;0.343399224;0.343399224;0;1
119;1;1;1;0.304396726;0.349704954;0.349704954;0;1
120;1;1;1;0.326905735;0.366605624;0.366605624;0;1
121;1;1;1;0.352561143;0.381366762;0.381366762;0;1
122;1;1;1;0.392429465;0.398203096;0.398203096;0;1
123;1;1;1;0.432031204;0.42830506;0.42830506;0;1
124;1;1;1;0.47330022;0.468657157;0.468657157;0;1
125;1;1;1;0.508733673;0.516878887;0.516878887;0;1
126;1;1;1;0.548969266;0.56189182;0.56189182;0;1
127;1;1;1;0.578367104;0.599835193;0.599835193;0;1
128;1;1;1;0.610694557;0.630602832;0.630602832;0;1
129;1;1;1;0.629993075;0.66171106;0.66171106;0;1
130;1;1;1;0.649057984;0.704349389;0.704349389;0.004526935;1
131;1;1;1;0.642240583;0.732233576;0.732233576;0.120417278;1
132;1;1;1;0.638463734;0.741483547;0.741483547;0.285885309;1
133;1;1;1;0.627391361;0.731932409;0.731932409;0.391183053;1
134;1;1;1;0.628464064;0.735630527;0.735630527;0.433739512;1
135;1;1;1;0.639877692;0.747702076;0.747702076;0.356363413;1
136;1;1;1;0.61911957;0.751536369;0.751536369;0.277453565;1
137;1;1;1;0.609397941;0.756657431;0.756657431;0.12449422;1
138;1;1;1;0.598408962;0.759112047;0.759112047;0.001639792;1
139;1;1;1;0.583294885;0.757213879;0.757213879;0;1
140;1;1;1;0.564111768;0.748862995;0.748862995;0;1
141;1;1;1;0.542387389;0.737759882;0.737759882;0;1
142;1;1;1;0.515489491;0.718811213;0.718811213;0;1
143;1;1;1;0.455466097;0.664534556;0.664534556;0;1
144;1;1;1;0.441557196;0.643398965;0.643398965;0;1
145;1;1;1;0.423061192;0.630229983;0.630229983;0;1
146;1;1;1;0.412896693;0.62692464;0.62692464;0;1
147;1;1;1;0.413484807;0.622177581;0.622177581;0;1
148;1;1;1;0.412566554;0.605281913;0.605281913;0;1
149;1;1;1;0.410572506;0.586556105;0.586556105;0;1
150;1;1;1;0.412212541;0.573885148;0.573885148;0;1
151;1;1;1;0.413576384;0.568205962;0.568205962;0;1
152;1;1;1;0.413474789;0.568086598;0.568086598;0;1
153;1;1;1;0.411504967;0.571760134;0.571760134;0;1
154;1;1;1;0.416299611;0.583555628;0.583555628;0.007430158;1
155;1;1;1;0.365677074;0.559354481;0.559354481;0.205736523;1
156;1;1;1;0.356801757;0.575203286;0.575203286;0.397205251;1
157;1;1;1;0.359111854;0.581022211;0.581022211;0.51425289;1
158;1;1;1;0.364127793;0.575337137;0.575337137;0.542087141;1
159;1;1;1;0.375458267;0.579008905;0.579008905;0.490747519;1
160;1;1;1;0.405409009;0.58927317;0.58927317;0.360545507;1
161;1;1;1;0.444882435;0.61042188;0.61042188;0.15144174;1
162;1;1;1;0.476212415;0.639992542;0.639992542;0.002099635;1
163;1;1;1;0.491849287;0.668160218;0.668160218;0;1
164;1;1;1;0.508446522;0.693040516;0.693040516;0;1
165;1;1;1;0.535987498;0.716508322;0.716508322;0;1
166;1;1;1;0.552202564;0.733189921;0.733189921;0;1
167;1;1;1;0.548576327;0.73646529;0.73646529;0;1
168;1;1;1;0.551248689;0.762252593;0.762252593;0;1
169;1;1;1;0.559777105;0.775307625;0.775307625;0;1
170;1;1;1;0.577649765;0.786440212;0.786440212;0;1
171;1;1;1;0.569929761;0.780889396;0.780889396;0;1
172;1;1;1;0.575986028;0.793178046;0.793178046;0;1
173;1;1;1;0.570308821;0.804520363;0.804520363;0;1
174;1;1;1;0.568991243;0.813450466;0.813450466;0;1
175;1;1;1;0.555075607;0.809545503;0.809545503;0;1
176;1;1;1;0.545396484;0.805717048;0.805717048;0;1
177;1;1;1;0.550861624;0.800524513;0.800524513;0;1
178;1;1;1;0.561124562;0.789551085;0.789551085;0.00399292;1
179;1;1;1;0.491361883;0.713586446;0.713586446;0.137683341;1
180;1;1;1;0.448538357;0.731036945;0.731036945;0.255055909;1
181;1;1;1;0.448035125;0.737853062;0.737853062;0.309026316;1
182;1;1;1;0.464540158;0.727206339;0.727206339;0.303235967;1
183;1;1;1;0.479271016;0.710537972;0.710537972;0.250433684;1
184;1;1;1;0.50182452;0.726824215;0.726824215;0.161465697;1
185;1;1;1;0.534070978;0.745351716;0.745351716;0.049730552;1
186;1;1;1;0.577780312;0.757962234;0.757962234;0.001094817;1
187;1;1;1;0.594242321;0.76695886;0.76695886;0;1
188;1;1;1;0.595670183;0.772744151;0.772744151;0;1
189;1;1;1;0.606829321;0.772943764;0.772943764;0;1
190;1;1;1;0.614324425;0.765620011;0.765620011;0;1
191;1;1;1;0.571475036;0.693923006;0.693923006;0;1
192;1;1;1;0.58597208;0.716492786;0.716492786;0;1
193;1;1;1;0.59172296;0.722760348;0.722760348;0;1
194;1;1;1;0.595857257;0.731471025;0.731471025;0;1
195;1;1;1;0.592164494;0.722325796;0.722325796;0;1
196;1;1;1;0.580075833;0.705865296;0.705865296;0;1
197;1;1;1;0.570470091;0.691256953;0.691256953;0;1
198;1;1;1;0.559524292;0.653520754;0.653520754;0;1
199;1;1;1;0.551739653;0.622743195;0.622743195;0;1
200;1;1;1;0.549885033;0.639006143;0.639006143;0;1
201;1;1;1;0.564059479;0.645031902;0.645031902;0;1
